token,frequency
pc-only,3
compared,3
entire,3
trying,3
right,3
luck,3
typical,3
work,3
aspects,3
launch,3
far,3
let,3
own,3
using,3
takes,3
story,3
t-rated,3
likeability,3
thanks,3
appropriate,3
done,3
very,3
limited,3
thus,3
shot,3
ideal,3
alone,3
genres,3
receiving,3
action-shooter,3
family,3
bird-,3
amongst,2
gave,2
chance,2
soon,2
leaving,2
top,2
simulation-sports,2
engaging,2
loaded,2
shooter-rpg,2
anticipated,2
disappointed,2
mixed,2
fine,2
am,2
oh,2
jam,2
digital,2
onto,2
alike,2
non-stop,2
always,2
name,2
otherwise,2
operates,2
allow,2
fighter,2
th,2
well-known,2
live,2
everything,2
liked,2
camera,2
devolped,2
component,2
neither,2
together,2
gamer,2
viewed,2
combine,2
compete,2
present,2
likability,2
sees,2
known,2
folks,2
latest,2
start,2
geared,2
toward,2
blizzard,2
little,2
bit,2
whether,2
pick,2
off,2
arrived,2
compatible,2
garnered,2
sure,2
something,2
goes,2
specific,2
consider,2
saw,2
how,2
much,2
constructed,2
adventure-platformer,2
similar,2
allowing,2
fall,2
home,2
control,2
characters,2
past,2
definitely,2
mmorpgs,2
allowed,2
them,2
enemies,2
tell,2
take,2
me,2
answer,2
yes,2
action-platformer,2
combination,2
giving,2
intend,2
critic,2
almost,2
anyone,2
across,2
sight,2
placed,2
trivia,2
challenge,2
quite,2
away,2
purchased,2
following,2
category,2
built,2
middling,2
campaign,2
1999-released,2
hey,2
hard,2
puzzle-platforming,2
developers,2
dark,2
naturally,2
dropped,2
provides,2
switched,2
boast,2
reviewers,2
until,2
fight,2
arcade-style,2
sometime,2
due,2
releasing,2
adventure-filled,2
m.,2
place,2
deal,2
variety,2
strategy-tactical,2
market,2
see,2
t.,2
included,2
focus,2
rpgs,2
regarded,1
appear,1
character,1
avaliable,1
puzzle-based,1
met,1
kid,1
top-down,1
highly-anticipated,1
nowadays,1
worst,1
universally,1
praised,1
nevertheless,1
puzzle/role-playing,1
promised,1
marked,1
small,1
problems,1
easily,1
talking,1
night,1
third-,1
third-person,1
3d,1
published,1
sony,1
computer,1
processors,1
services,1
changed,1
original,1
once,1
accessible,1
missed,1
franchise,1
feel,1
watching,1
tv,1
ea,1
basically,1
avaialable,1
introduced,1
mainly,1
whose,1
raised,1
bar,1
formula,1
bethesda,1
studios,1
perform,1
skate-boarding,1
tricks,1
primarily,1
fit,1
bill,1
team,1
several,1
sporting,1
truly,1
simulatior,1
go,1
locked,1
ever,1
rockin,1
day,1
visiting,1
account,1
classified,1
2009-released,1
depending,1
dev,1
launcher,1
achieved,1
simulator-styled,1
cheap,1
named,1
categorized,1
means,1
excuse,1
stores,1
simulaton,1
after,1
agree,1
flip,1
sequences,1
unless,1
huge,1
someone,1
focused,1
adventure/role-playing,1
positively,1
action-filled,1
scheme,1
survey,1
domain,1
thing,1
soccer,1
objectionable,1
point-of-view,1
titles,1
planning,1
whichever,1
above,1
styled,1
entry,1
contains,1
particular,1
reflect,1
under,1
care,1
checking,1
adding,1
section,1
terms,1
variant,1
lucky,1
sleek,1
downside,1
utilizes,1
excited,1
sneaking,1
tactically,1
completing,1
objective,1
make,1
slow,1
level,1
introduce,1
stickler,1
exact,1
information,1
turns,1
problem,1
single-player-only,1
trough,1
tean,1
everybody,1
loves,1
solidified,1
having,1
valve,1
corporation,1
sport-strategy,1
redefines,1
consumers,1
dogged,1
wondering,1
availabe,1
able,1
order,1
steer,1
clear,1
guaranteed,1
please,1
core,1
score,1
discourage,1
taking,1
consideration,1
standing,1
test,1
e.,1
operate,1
pc-exclusive,1
worms,1
artillery,1
ports,1
capability,1
action-platformers,1
recieved,1
averagely,1
combining,1
scores,1
universal,1
acclaim,1
adventure-style,1
favorites,1
nba,1
basketball,1
poised,1
ones,1
personally,1
relax,1
nfs,1
payback,1
change,1
modern,1
said,1
addicting,1
newly,1
equivalent,1
hybrid,1
super,1
turned,1
mutiplayer,1
titled,1
operating,1
skip,1
examples,1
falling,1
face,1
critically,1
panned,1
mustering,1
reminds,1
questions,1
well-executed,1
teen-rated,1
lookout,1
merely,1
hockey,1
help,1
wide,1
based,1
thrilling,1
moments,1
music-related,1
world,1
featured,1
skating,1
dynamic,1
our,1
actually,1
pass,1
must-play-now,1
perfect,1
session,1
must-have,1
hail,1
mob,1
footsoldier,1
sometimes,1
competitive,1
races,1
middle-of-the-road,1
pun,1
intended,1
evidenced,1
besides,1
success,1
better,1
elsewhere,1
itself,1
cross-platform,1
along,1
outdid,1
themselves,1
quintessential,1
weird,1
believe,1
combined,1
delight,1
defies,1
expectations,1
\__slot_con_name__,1
guitar,1
hero,1
satisfy,1
blends,1
tons,1
equip,1
smooth,1
mix,1
consumer,1
age,1
groups,1
kind,1
violent,1
characteristics,1
progression,1
become,1
join,1
avialable,1
role-playing-text,1
cater,1
switching,1
brings,1
memories,1
middle,1
physical,1
newer,1
near,1
strategies,1
spectacular,1
close,1
personal,1
enjoyment,1
family-friendly,1
car,1
usual,1
fix,1
making,1
widely,1
experienece,1
alternate,1
toggle,1
late,1
remains,1
windows-only,1
continued,1
receive,1
continue,1
years,1
persepctives,1
started,1
enjoying,1
disappointing,1
bound,1
catch,1
interest,1
rts-rpgs,1
rts-rpg,1
need,1
hours,1
stay,1
surprisingly,1
part,1
against,1
alongside,1
counterpart,1
excpect,1
indie-adventure,1
children,1
m-rating,1
opinion,1
field,1
crowd,1
include,1
limiting,1
enjoyability,1
action-,1
ready,1
nod,1
stuff,1
fills,1
old-style,1
excpected,1
action-based,1
astonishingly,1
installed,1
mixes,1
numerous,1
processor,1
supposedly,1
relatively,1
explore,1
wild,1
adult,1
additional,1
multiplatform,1
suggest,1
gets,1
used,1
enjoys,1
gamed,1
big,1
two,1
network,1
strategy-simulation,1
puzzle-pinball,1
main,1
versus,1
hence,1
mediocre,1
decide,1
path,1
ds,1
switches,1
note,1
puzzle-adventure,1
involve,1
flagship,1
say,1
younger,1
devoloped,1
simulated,1
surprised,1
stands,1
high-dollar,1
retail,1
next,1
addition,1
preference,1
whole,1
development,1
realized,1
needed,1
pinball-puzzle,1
declared,1
attained,1
young,1
ensures,1
displays,1
therefore,1
single,1
compatibility,1
opportunity,1
castle,1
life,1
medieval,1
times,1
planned,1
strictly,1
ball,1
announced,1
involved,1
finally,1
system,1
centered,1
places,1
wish,1
excellently,1
popular,1
puzzle-oriented,1
setting,1
unforgettable,1
light,1
swap,1
action-racing,1
supposed,1
starting,1
weekend,1
