mr,ref,score,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It has an average customer rating and is not family-friendly.,1,,
nan,Browns Cambridge is a family friendly coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It has an average customer rating.,1,,
nan,Browns Cambridge is a children friendly coffee shop that serves Chinese food. It has an average customer rating and is located near Crowne Plaza Hotel in the riverside area.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the city centre. It is not family-friendly and has a low customer rating.,1,,
nan,Browns Cambridge is a family-friendly coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the city centre. It has a low customer rating.,1,,
nan,Browns Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It is not family-friendly and has a low customer rating.,1,,
nan,Browns Cambridge is a coffee shop that serves English food in the riverside area near Crowne Plaza Hotel. It is kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Browns Cambridge is a kid friendly coffee shop that serves English food. It is located near the Crowne Plaza Hotel in the riverside area. It has a customer rating of 3 out of 5.,1,,
nan,Browns Cambridge is a coffee shop that serves English food. It is located in the city centre near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,Browns Cambridge is a coffee shop that serves English food. It is located near the Crowne Plaza Hotel in the riverside area. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,Browns Cambridge is a family friendly coffee shop that serves English food. It is located near Crowne Plaza Hotel in the riverside area. It has a customer rating of 5 out of 5.,1,,
nan,Browns Cambridge is a coffee shop that serves English food. It has an average customer rating and is located in the city centre near Crowne Plaza Hotel. It is family friendly.,1,,
nan,Browns Cambridge is a family friendly coffee shop that serves English food. It has an average customer rating and is located near the Crowne Plaza Hotel in the riverside area.,1,,
nan,Browns Cambridge is a kid friendly coffee shop that serves English food. It has a high customer rating and is near the Crowne Plaza Hotel.,1,,
nan,Browns Cambridge is a coffee shop that serves English food. It is located in the city centre near Crowne Plaza Hotel. It is not family-friendly and has a low customer rating.,1,,
nan,Browns Cambridge is a family friendly coffee shop that serves English food. It is located in the city centre near Crowne Plaza Hotel. It has a low customer rating.,1,,
nan,Browns Cambridge is a coffee shop located near Crowne Plaza Hotel in the riverside area that serves English food. It has a low customer rating and is not family-friendly.,1,,
nan,Browns Cambridge is a family friendly coffee shop that serves English food. It is located near the Crowne Plaza Hotel in the riverside area and has a low customer rating.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It is located in the riverside area near Clare Hall and has a customer rating of 1 out of 5.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It is located near Clare Hall in the riverside area. It has a customer rating of 3 out of 5.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It is located near Clare Hall in the riverside area. It has a customer rating of 5 out of 5.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It is located near Clare Hall in the city centre. It has an average customer rating.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It has an average customer rating and is located near Clare Hall in the riverside area.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It has a high customer rating and is located near Clare Hall in the riverside area.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It is located near Clare Hall in the city centre. It has a low customer rating.,1,,
nan,Clowns is a coffee shop that serves Chinese food. It is located near Clare Hall in the riverside area. It has a low customer rating.,1,,
nan,Clowns is a coffee shop that serves English food in the riverside area near Clare Hall. It has a customer rating of 1 out of 5.,1,,
nan,Clowns is a coffee shop that serves English food. It is located near Clare Hall in the riverside area. It has a customer rating of 5 out of 5.,1,,
nan,Clowns is a coffee shop that serves English food. It has an average customer rating and is located in the city centre near Clare Hall.,1,,
nan,Clowns is a coffee shop that serves English food. It has an average customer rating and is located in the riverside area near Clare Hall.,1,,
nan,Clowns is a coffee shop that serves English food. It has a high customer rating and is located in the riverside area near Clare Hall.,1,,
nan,Clowns is a coffee shop that serves English food. It has a low customer rating and is located in the city centre near Clare Hall.,1,,
nan,Clowns is a coffee shop that serves English food. It has a low customer rating and is located near Clare Hall in the riverside area.,1,,
nan,Cocum is a cheap coffee shop that serves Chinese food. It has a customer rating of 5 out of 5 and is not family-friendly.,1,,
nan,Cocum is a cheap coffee shop that serves Chinese food. It has a customer rating of 5 out of 5 and is family friendly.,1,,
nan,Cocum is a cheap coffee shop that serves Chinese food. It is not family-friendly and has an average customer rating.,1,,
nan,Cocum is a family friendly coffee shop that serves Chinese food and has an average customer rating.,1,,
nan,Cocum is a high priced coffee shop that serves Chinese food. It is not children friendly and has a customer rating of 1 out of 5.,1,,
nan,Cocum is a child friendly coffee shop that serves Chinese food. It has a high price range and a customer rating of 1 out of 5.,1,,
nan,Cocum is a coffee shop that serves Chinese food. It is not children friendly and has a high customer rating.,1,,
nan,Cocum is a child friendly coffee shop that serves Chinese food. It has an average customer rating and has a high price range.,1,,
nan,Cocum is a coffee shop that serves Chinese food with a price range of less than £20. It is not family-friendly and has a low customer rating.,1,,
nan,Cocum is a family friendly coffee shop that serves Chinese food. It has a low customer rating and a price range of less than £20.,1,,
nan,Cocum is a moderately priced coffee shop that serves Chinese food. It is not kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Cocum is a Chinese coffee shop that is kid friendly and has a moderate price range and a customer rating of 1 out of 5.,1,,
nan,Cocum is a moderately priced coffee shop that serves Chinese food. It is not kid friendly and has a customer rating of 3 out of 5.,1,,
nan,Cocum is a kid friendly coffee shop that serves Chinese food. It has a customer rating of 3 out of 5 and has a moderate price range.,1,,
nan,Cocum is a coffee shop that serves Chinese food. It has a high customer rating and a price range of more than £30. It is not children friendly.,1,,
nan,Cocum is a child friendly coffee shop that serves Chinese food. It has a high customer rating and a price range of more than £30.,1,,
nan,Cocum is a coffee shop that serves Chinese food. It has a high customer rating and a price range of £20-25. It is not kids friendly.,1,,
nan,Cocum is a kid friendly coffee shop that serves Chinese food. It has a high customer rating and a price range of £20-25.,1,,
nan,Cocum is a cheap coffee shop that serves English food. It has a customer rating of 5 out of 5 and is not family friendly.,1,,
nan,Cocum is a cheap coffee shop that serves English food. It has a customer rating of 5 out of 5 and is family friendly.,1,,
nan,Cocum is a cheap coffee shop that serves English food. It is family friendly and has an average customer rating.,1,,
nan,Cocum is a coffee shop that serves English food at a high price. It is not children friendly and has a customer rating of 1 out of 5.,1,,
nan,Cocum is a family friendly coffee shop that serves English food with a high price range. It has a customer rating of 1 out of 5.,1,,
nan,Cocum is a coffee shop that serves English food in a high price range. It is not children friendly and has an average customer rating.,1,,
nan,Cocum is a children friendly coffee shop that serves English food with an average customer rating. It is in the high price range.,1,,
nan,Cocum is a coffee shop that serves English food for less than £20. It is not family friendly and has a low customer rating.,1,,
nan,Cocum is a family friendly coffee shop that serves English food with a price range of less than £20. It has a low customer rating.,1,,
nan,Cocum is a coffee shop that serves English food at a moderate price. It is not kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Cocum is a moderately priced English coffee shop that is kid friendly and has a 1 out of 5 customer rating.,1,,
nan,Cocum is a moderately priced coffee shop that serves English food. It is not kid friendly and has a customer rating of 3 out of 5.,1,,
nan,Cocum is a moderately priced English coffee shop that is kid friendly and has a 3 out of 5 customer rating.,1,,
nan,Cocum is a coffee shop that serves English food with a price range of £20-25. It is not kid friendly and has a high customer rating.,1,,
nan,Cocum is a kid friendly coffee shop that serves English food. It has a high customer rating and a price range of £20-25.,1,,
nan,Cotto is a cheap coffee shop that serves Chinese food. It is located in the city centre near The Portland Arms and has a customer rating of 5 out of 5.,1,,
nan,Cotto is a cheap coffee shop that serves Chinese food. It is located in the riverside area near The Portland Arms and has a customer rating of 5 out of 5.,1,,
nan,Cotto is a coffee shop that serves cheap Chinese food. It is located in the city centre near The Portland Arms. It has an average customer rating.,1,,
nan,Cotto is a coffee shop that serves Chinese food in the riverside area near The Portland Arms. It has an average customer rating and is cheap.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located in the city centre near The Portland Arms. It has an average customer rating and a high price range.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located near The Portland Arms in the riverside area. It has an average customer rating and a high price range.,1,,
nan,Cotto is a coffee shop that serves Chinese food with a price range of less than £20. It is located near The Portland Arms and has a low customer rating.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located near The Portland Arms in the city centre. It has a moderate price range and a customer rating of 1 out of 5.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located near The Portland Arms in the riverside area. It has a moderate price range and a customer rating of 1 out of 5.,1,,
nan,Cotto is a coffee shop that serves Chinese food in the city centre near The Portland Arms. It has a customer rating of 3 out of 5 and a moderate price range.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located near The Portland Arms and has a customer rating of 3 out of 5 and a moderate price range.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located in the city centre near The Portland Arms. It has a high customer rating and a price range of more than £30.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located in the riverside area near The Portland Arms. It has a high customer rating and a price range of more than £30.,1,,
nan,Cotto is a coffee shop that serves Chinese food. It is located in the city centre near The Portland Arms. It has a high customer rating and a price range of £20-25.,1,,
nan,Cotto is a cheap coffee shop that serves English food. It is located in the riverside area near The Portland Arms and has a customer rating of 5 out of 5.,1,,
nan,Cotto is a coffee shop that serves cheap English food. It is located in the riverside area near The Portland Arms and has an average customer rating.,1,,
nan,Cotto is a coffee shop that serves English food with a high price range. It has a customer rating of 1 out of 5. it is located in the city centre near The Portland Arms.,1,,
nan,Cotto is a high priced coffee shop that serves English food. It is located in the riverside area near The Portland Arms and has a customer rating of 1 out of 5.,1,,
nan,Cotto is a coffee shop that serves English food in the high price range. It has an average customer rating and is located in the city centre near The Portland Arms.,1,,
nan,Cotto is a coffee shop that serves English food in the high price range. It has an average customer rating and is located in the riverside area near The Portland Arms.,1,,
nan,Cotto is a coffee shop that serves English food with a price range of less than £20. It is located in the city centre near The Portland Arms.,1,,
nan,Cotto is a coffee shop that serves English food for less than £20. It is near The Portland Arms and has a low customer rating.,1,,
nan,Cotto is a moderately priced coffee shop that serves English food. It is located in the riverside area near The Portland Arms and has a customer rating of 1 out of 5.,1,,
nan,Cotto is a coffee shop that serves English food. It is located in the city centre near The Portland Arms. It has a high customer rating and a price range of more than £30.,1,,
nan,Cotto is a coffee shop that serves English food. It has a high customer rating and a price range of £20-25. It is located in the city centre near The Portland Arms.,1,,
nan,Cotto is a coffee shop that serves English food. It has a high customer rating and a price range of £20-25. It is located in the riverside area near The Portland Arms.,1,,
nan,There is a cheap coffee shop Fitzbillies located in the centre of the city that provides Chinese food. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,There is a cheap coffee shop Fitzbillies located in the centre of the city that provides Chinese food. It has a customer rating of 5 out of 5 and it is family-friendly.,1,,
nan,There is a cheap coffee shop Fitzbillies located in the riverside that provides Chinese food. It is not family-friendly and has a customer rating of 5 out of 5.,1,,
nan,There is a cheap Chinese coffee shop Fitzbillies located in the riverside area that is family friendly and has a 5 out of 5 customer rating.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves Chinese food. It has an average customer rating and is not family-friendly.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves Chinese food. It has an average customer rating and is family-friendly.,1,,
nan,Fitzbillies is a coffee shop in the riverside area that serves Chinese food. It is not family-friendly and has an average customer rating.,1,,
nan,Fitzbillies is a coffee shop in the riverside area that serves Chinese food. It is family friendly and has an average customer rating.,1,,
nan,Fitzbillies is a high priced coffee shop in the city centre that serves Chinese food. It is not child friendly and has a customer rating of 1 out of 5.,1,,
nan,Fitzbillies is a coffee shop that serves Chinese food in the riverside area. It is not children friendly and has a customer rating of 1 out of 5 and a high price range.,1,,
nan,Fitzbillies is a child friendly coffee shop that serves Chinese food. It is located in riverside and has a high price range and a customer rating of 1 out of 5.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves Chinese food. It is not children friendly and has a high customer rating.,1,,
nan,Fitzbillies is a child friendly coffee shop that serves Chinese food. It is located in the city centre. It has an average customer rating and a high price range.,1,,
nan,Fitzbillies is a coffee shop in the riverside area that serves Chinese food. It is not children friendly and has a high customer rating.,1,,
nan,Fitzbillies is a child friendly coffee shop that serves Chinese food. It is located in riverside and has a high customer rating.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves Chinese food with a price range of less than £20. It is not family-friendly and has a low customer rating.,1,,
nan,Fitzbillies is a family-friendly coffee shop in the city centre that serves Chinese food with a price range of less than £20. It has a low customer rating.,1,,
nan,Fitzbillies is a coffee shop that serves Chinese food with a price range of less than £20. It is located in riverside and has a low customer rating. It is not family-friendly.,1,,
nan,Fitzbillies is a family friendly coffee shop that serves Chinese food with a price range less than £20. It is located in riverside and has a low customer rating.,1,,
nan,Fitzbillies is a moderately priced coffee shop in the city centre that serves Chinese food. It is not kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Fitzbillies is a kid friendly coffee shop located in the city centre that serves Chinese food. It has a moderate price range and a customer rating of 1 out of 5.,1,,
nan,Fitzbillies is a moderately priced coffee shop in the riverside area that serves Chinese food. It is not kid friendly and has a customer rating of 1 out of 5.,1,,
nan,Fitzbillies is a coffee shop in the riverside area that serves Chinese food. It is kid friendly and has a customer rating of 1 out of 5 and the price range is moderate.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves Chinese food. It is not kid friendly and has a customer rating of 3 out of 5 and is moderately priced.,1,,
nan,Fitzbillies is a kid friendly coffee shop that serves Chinese food in the city centre. It has a customer rating of 3 out of 5 and has a moderate price range.,1,,
nan,Fitzbillies is a coffee shop in the riverside area that serves Chinese food. It is not kid friendly and has a customer rating of 3 out of 5 and a moderate price range.,1,,
nan,Fitzbillies is a Chinese coffee shop in the riverside area that is kid friendly and has a customer rating of 3 out of 5 and has a moderate price range.,1,,
nan,Fitzbillies is a high rated coffee shop in the city centre that serves Chinese food. It is not children friendly and has a price range of more than £30.,1,,
nan,Fitzbillies is a child friendly coffee shop located in the city centre that serves Chinese food. It has a high customer rating and a price range of more than £30.,1,,
nan,Fitzbillies is a coffee shop that serves Chinese food with a price range of more than £30. It is not children friendly and has a high customer rating.,1,,
nan,Fitzbillies is a coffee shop that serves Chinese food. It is located in riverside and has a high customer rating and a price range of more than £30. It is child friendly.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves Chinese food with a price range of £20-25. It has a high customer rating and is not kid friendly.,1,,
nan,Fitzbillies is a coffee shop that serves Chinese food in the riverside area. It has a high customer rating and a price range of £20-25. It is not kid friendly.,1,,
nan,Fitzbillies is a kid friendly coffee shop in the riverside area that serves Chinese food. It has a high customer rating and a price range of £20-25.,1,,
nan,There is a cheap coffee shop Fitzbillies located in the city centre that provides English food. It has a customer rating of 5 out of 5 and is not family-friendly.,1,,
nan,Fitzbillies is a coffee shop located in the city centre that serves cheap English food. It has a customer rating of 5 out of 5 and is family friendly.,1,,
nan,Fitzbillies is a cheap coffee shop that serves English food in the riverside area. It is not family friendly and has a customer rating of 5 out of 5.,1,,
nan,Fitzbillies is a family friendly coffee shop that serves cheap English food. It has a customer rating of 5 out of 5 and is located in the riverside area.,1,,
nan,Fitzbillies is a coffee shop located in the city centre that serves cheap English food. It is not family friendly and has an average customer rating.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the cheap price range. It has an average customer rating and is located in the city centre.,1,,
nan,Fitzbillies is a family friendly coffee shop that serves cheap English food. It is located in riverside and has an average customer rating.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It has a customer rating of 1 out of 5. it is located in the city centre and is not children friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It has a customer rating of 1 out of 5. it is located in the city centre.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It has a customer rating of 1 out of 5. it is located in the riverside area and is not children friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It has an average customer rating and is located in the city centre. It is not children friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It has an average customer rating and is located in the city centre.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It is located in the riverside. It is not children friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the high price range. It is located in the riverside and has an average customer rating.,1,,
nan,Fitzbillies is a family friendly coffee shop located in the city centre that serves English food with a price range of less than £20. It has a low customer rating.,1,,
nan,Fitzbillies is a coffee shop that serves English food with a price range less than £20. It is located in the riverside and has a low customer rating. It is not family friendly.,1,,
nan,Fitzbillies is a family friendly coffee shop located in the riverside area that serves English food for less than £20. It has a low customer rating.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the moderate price range. It has a customer rating of 1 out of 5. it is located in the city centre. It is kid friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the moderate price range. It is not kid friendly and has a customer rating of 1 out of 5. it is located in the riverside area.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the moderate price range. It is located in riverside and has a customer rating of 1 out of 5.,1,,
nan,Fitzbillies is a moderately priced coffee shop in the city centre that serves English food. It has a customer rating of 3 out of 5 and is not kid friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the moderate price range. It has a customer rating of 3 out of 5. it is located in the city centre.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the moderate price range. It has a customer rating of 3 out of 5. it is located in the riverside and is not kid friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the moderate price range. It is located in the riverside and has a customer rating of 3 out of 5.,1,,
nan,Fitzbillies is a coffee shop located in the city centre that serves English food with a price range of more than £30. It has a high customer rating and is not children friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food. It is located in the city centre and has a high customer rating and a price range of more than £30. It is children friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food with a price range of more than £30. It has a high customer rating and is not children friendly. It is located in the riverside area.,1,,
nan,Fitzbillies is a coffee shop in the city centre that serves English food with a price range of £20-25. It has a high customer rating and is not kid friendly.,1,,
nan,Fitzbillies is a coffee shop that serves English food in the price range of £20-25. It has a high customer rating and is located in the city centre.,1,,
nan,Fitzbillies is a coffee shop that serves English food with a price range of £20-25. It is located in riverside and has a high customer rating.,1,,
nan,Midsummer House is a coffee shop that has a customer rating of 3 out of 5 and is near The Bakers.,1,,
nan,Midsummer House is a coffee shop that serves &slot_con_food&. It is located near The Bakers.,1,,
nan,Midsummer House is a restaurant near The Bakers that has an average customer rating.,1,,
nan,Midsummer House is a restaurant near The Bakers that serves serve.,1,,
nan,Midsummer House is located near The Bakers. It is a restaurant that serves indiana.,1,,
nan,Taste of Cambridge is a coffee shop that serves Chinese food. It is located near the Crowne Plaza Hotel in the city centre. It is not family-friendly.,1,,
nan,Taste of Cambridge is a coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area. It is not family-friendly.,1,,
nan,Taste of Cambridge is a children friendly coffee shop that serves Chinese food. It is located near Crowne Plaza Hotel in the riverside area.,1,,
nan,Taste of Cambridge is a coffee shop that serves English food in the city centre near Crowne Plaza Hotel. It is not family-friendly.,1,,
nan,Taste of Cambridge is a family friendly coffee shop that serves English food. It is located near Crowne Plaza Hotel in the city centre.,1,,
nan,Taste of Cambridge is a coffee shop that serves English food in the riverside area near Crowne Plaza Hotel. It is not kid friendly.,1,,
nan,Taste of Cambridge is a children friendly coffee shop that serves English food. It is located near Crowne Plaza Hotel in the riverside area.,1,,
nan,The Cambridge Blue is a kid friendly coffee shop that serves &slot_vow_cuisine_food& food. It is located near Burger King and has a customer rating of 1 out of 5.,1,,
nan,The Cambridge Blue is a kid friendly coffee shop that serves &slot_con_food&. It is located near Burger King and has a customer rating of 3 out of 5.,1,,
nan,The Cambridge Blue is a family friendly coffee shop that serves &slot_con_food&. It is located near Burger King and has a customer rating of 5 out of 5.,1,,
nan,The Cambridge Blue is a coffee shop that serves &slot_con_food&. It is located near Burger King in the city centre. It is not family-friendly and has an average customer rating.,1,,
nan,The Cambridge Blue is a coffee shop that serves &slot_con_food&. It is located near Burger King in the city centre.,1,,
nan,The Cambridge Blue is a coffee shop that serves &slot_con_food&. It is located near Burger King in the riverside area. It has an average customer rating and is not family-friendly.,1,,
nan,The Cambridge Blue is a coffee shop that serves &slot_con_food&. It is located near Burger King in the riverside area. It is family friendly and has an average customer rating.,1,,
nan,The Cambridge Blue is a coffee shop that serves &slot_vow_cuisine_food& food. It has a high customer rating and is located near Burger King in the riverside area.,1,,
nan,The Cambridge Blue is a family friendly coffee shop that serves &slot_con_food&. It is located near Burger King in the riverside area.,1,,
nan,The Cricketers is a coffee shop that serves Chinese food. It is located near The Portland Arms and has a customer rating of 1 out of 5 and is kid friendly.,1,,
nan,The Cricketers is a Chinese coffee shop near The Portland Arms that is not family-friendly and has an average customer rating.,1,,
nan,The Cricketers is a Chinese coffee shop near The Portland Arms that is family friendly and has an average customer rating.,1,,
nan,The Cricketers is a children friendly coffee shop that serves Chinese food. It is located near The Portland Arms and has a high customer rating.,1,,
nan,The Cricketers is a coffee shop that serves Chinese food. It has a low customer rating and is located near The Portland Arms. It is not family-friendly.,1,,
nan,The Cricketers is a family-friendly coffee shop that serves Chinese food. It is located near The Portland Arms and has a low customer rating.,1,,
nan,The Cricketers is a coffee shop near The Portland Arms that serves English food. It is kid friendly and has a customer rating of 1 out of 5.,1,,
nan,The Cricketers is a family friendly coffee shop that serves English food. It is located near The Portland Arms and has a customer rating of 5 out of 5.,1,,
nan,The Cricketers is an English coffee shop near The Portland Arms that is not family-friendly and has an average customer rating.,1,,
nan,The Cricketers is a coffee shop near The Portland Arms that serves English food. It is family friendly and has an average customer rating.,1,,
nan,The Cricketers is a children friendly coffee shop that serves English food. It is located near The Portland Arms and has a high customer rating.,1,,
nan,The Cricketers is a coffee shop that serves English food. It is located near The Portland Arms and has a low customer rating and is not family-friendly.,1,,
nan,The Cricketers is a family friendly coffee shop that serves English food. It is located near The Portland Arms and has a low customer rating.,1,,
nan,The Eagle is a coffee shop that serves &slot_vow_cuisine_food& food. It is located near Café Brazil in the riverside area.,1,,
nan,Near Café Brazil in the riverside area is The Eagle which is kid friendly and has a customer rating of 3 out of 5.,1,,
nan,The Eagle is a coffee shop that serves &slot_con_food&. It is located near Café Brazil in the city centre. It is not family-friendly.,1,,
nan,The Eagle is a coffee shop that serves &slot_con_food&. It is located near Café Brazil in the city centre.,1,,
nan,The Eagle is a coffee shop that serves &slot_con_food&. It is located near Café Brazil in the riverside area.,1,,
nan,The Eagle is a &slot_con_food& restaurant in the city centre near Café Brazil that is not family-friendly and has an average customer rating.,1,,
nan,The Eagle is located in the city centre near Café Brazil. It is a family-friendly restaurant that serves average priced food.,1,,
nan,The Eagle is a &slot_con_food& restaurant near Café Brazil in the riverside area that is not family-friendly and has an average customer rating.,1,,
nan,"Near Café Brazil in the riverside area is The Eagle, which is child friendly and has an average customer rating.",1,,
nan,The Eagle is a coffee shop that serves high priced food. It is located near Café Brazil in the riverside area.,1,,
nan,The Eagle is a coffee shop that serves &slot_con_cuisine_food& food. It is located near Café Brazil in the city centre.,1,,
nan,"The Eagle is a coffee shop that serves &slot_con_cuisine_food& food. It is located near Café Brazil in the riverside area, and is not family-friendly.",1,,
nan,The Eagle is a coffee shop that serves &slot_con_cuisine_food& food. It is located near Café Brazil in the riverside area.,1,,
