HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3566S7OX5D4ZWD732IV4Z7RID8017N,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3YMU66OBIOUWF11CNC7LLRG8C5AGHG,AI6U09NVOZ62B,Submitted,Mon Apr 15 09:53:54 PDT 2019,Mon Apr 15 10:28:35 PDT 2019,Tue Apr 30 10:28:35 PDT 2019,,,,2081,0% (0/0),0% (0/0),0% (0/0),,Year: <b>2001</b>,,Developer: <b>Neversoft Entertainment</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>average</b>,Genres: <b>sport</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,rating,genres,has_multiplayer,rating,genres,esrb,rating,developer,platforms,rating,genres,player_perspective,rating,developer,release_year,What do you like about sport games that have multiplayer?,What do you like about sport games that have a teen ESRB content rating?,What do you like about Neversoft Entertainment's PC platform games?,What do you like about sport games that have a third person perspective?,What do you like about Neversoft Entertainment's 2001 year games?,,
37SDSEDIN9N3WRCMCNNAD7NDOS618A,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3MAOD8E57RWZBJIDFK22EXDZ1BBNXS,A8VAYDSZ6Z6K4,Submitted,Mon Apr 15 17:42:18 PDT 2019,Mon Apr 15 17:51:54 PDT 2019,Tue Apr 30 17:51:54 PDT 2019,,,,576,100% (2/2),100% (2/2),100% (2/2),,Year: <b>2017</b>,,Developer: <b>Grimlore Games</b>,,Liking: <b>poor</b>,"Genres: <b>real-time strategy, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,developer,genres,rating,player_perspective,available_on_steam,rating,platforms,genres,rating,developer,release_year,rating,has_multiplayer,player_perspective,What don't you like about real-time role-playing strategy games from Grimlore Games?,Why don't you enjoy playing games with a bird's eye view on Steam?,"What bothers you about PC games with a role-playing, real-time strategy element?",Why do you really not like video games released in 2017 by Grimlore Games?,What specifically isn't fun about multiplayer games played with a bird view?,,
3S4TINXCC087UHHUL15VG5QMP91BO6,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3LJ7UR74RIZ8DHU3V90XHMG188KN4B,A1MW021IG07IMF,Submitted,Mon Apr 15 02:11:36 PDT 2019,Mon Apr 15 02:16:18 PDT 2019,Tue Apr 30 02:16:18 PDT 2019,,,,282,100% (20/20),100% (20/20),100% (20/20),,Year: <b>1999</b>,,Developer: <b>MicroProse</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>good</b>,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,rating,genres,player_perspective,rating,developer,platforms,rating,platforms,release_year,rating,developer,genres,rating,developer,player_perspective,Why do you enjoy playing bird view strategy sims?,What is it about MicroProse's Xbox games that you find enjoyable?,Why do you think that the games released on the Xbox in 1999 were pretty good?,What aspects of MicroProse's strategy simulators make you enjoy them like you do?,What is it about the the bird view perspective games made by MicroProse that makes you enjoy them?,,
3TZ0XG8CBU5LLWFHG023SD5WM4U98R,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:08 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:08 PDT 2019,,,37QW5D2ZRH86CV9AF87WXS6CXTMS8X,A1MW021IG07IMF,Submitted,Mon Apr 15 01:43:24 PDT 2019,Mon Apr 15 01:49:29 PDT 2019,Tue Apr 30 01:49:29 PDT 2019,,,,365,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2013</b>,,Developer: <b>Naughty Dog</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,rating,platforms,developer,rating,developer,genres,rating,genres,player_perspective,rating,esrb,platforms,rating,has_multiplayer,player_perspective,What do you love Naught Dog's PlayStation games so much?,What is it about Naughty Dog's action adventure shooters that you love so much?,So why are third person action adventure shooters your favorite type of games?,Why are you such a big fan of all the M rated games on the PlayStation?,What is it about third person multiplayer games that makes you such a huge fan of them?,,
3J5XXLQDHMWXH6ME7KC3TEMIXAL3V9,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:08 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:08 PDT 2019,,,35USIKEBNS2MS4YHEXTCEK0F43AN6O,A2EED3HLTA96CP,Submitted,Mon Apr 15 09:22:21 PDT 2019,Mon Apr 15 09:53:59 PDT 2019,Tue Apr 30 09:53:59 PDT 2019,,,,1898,100% (5/5),100% (5/5),100% (5/5),,Year: <b>1993</b>,,Developer: <b>Hudson Soft</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>action, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,developer,player_perspective,rating,genres,esrb,rating,release_year,developer,rating,has_multiplayer,player_perspective,rating,has_mac_release,has_linux_release,I understand you are not too fond of bird view games developed by Hudson Soft. Why is that?,"I understand you are not too fond of action, strategy games rated E (for Everyone); can you explain this please?",I understand you are not too fond of Hudson Soft games from 1993--please explain that to me?,"I understand you are not too fond of multiplayer bird view games, can you help me understand why that is?",I understand you are not too fond of games that aren't released for the Mac and on Linux...why is that?,,
38RHULDV9Y0PMY42IXOMJM7LN1KIWY,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:08 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:08 PDT 2019,,,3YW4XOSQKR74G8HT5STHXJ1S4K4U1Y,A1MW021IG07IMF,Submitted,Mon Apr 15 02:19:38 PDT 2019,Mon Apr 15 02:25:03 PDT 2019,Tue Apr 30 02:25:03 PDT 2019,,,,325,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2014</b>,,Developer: <b>Kunos Simulazioni</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>good</b>,"Genres: <b>driving/racing, simulation, sport</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,rating,platforms,genres,rating,developer,genres,rating,genres,player_perspective,rating,release_year,has_multiplayer,rating,release_year,platforms,Why do you find the PlayStation's lineup of sports driving/racing simulators to be enjoyable games to play?,What is it about Kunos Simulazioni's sports driving/racing simulators that makes you recommend them?,And so why do you enjoy third person driving/racing sport simulators to be a good time?,What is it about the multiplayer games released in 2014 that you feel makes them pretty fun?,"I'm really curious now, what aspects of the PlayStation's 2014 lineup makes you say they're fun?",,
33BFF6QPI1WAWVMJXUHZFG5W4JN3WJ,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:08 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:08 PDT 2019,,,3I3WADAZ9RQ8RLYFATJK13MKYEJ5OC,A1MW021IG07IMF,Submitted,Mon Apr 15 01:53:52 PDT 2019,Mon Apr 15 02:02:05 PDT 2019,Tue Apr 30 02:02:05 PDT 2019,,,,493,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2002</b>,,Developer: <b>Illusion Softworks</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>driving/racing, fighting, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,rating,developer,genres,rating,platforms,developer,rating,esrb,genres,rating,genres,player_perspective,rating,platforms,release_year,What is it about Illusion Softworks's shooter games with driving and fighting that you find enjoyable?,Why do you like Xbox games by Illusion Softworks then?,What do you find fun about M rated shooters that involve driving and fighting?,"I'm curious to know, what is it about third-person shooting and fighting games in which you can drive that you find fun?",What is it about the Xbox games released in 2002 that makes you a fan of them?,,
3JHB4BPSFKURR0FD2UJ3E4QWGD79QZ,3HMUMBDHXDHW9E33DBKHKAJ26CQPQT,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Tue Apr 16 13:07:02 PDT 2019,1,BatchId:3609790;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 13:07:02 PDT 2019,,,31UV0MXWNRYYVZNCCY6FH6QYMMM5IH,A1MW021IG07IMF,Submitted,Tue Apr 16 20:20:52 PDT 2019,Tue Apr 16 20:23:33 PDT 2019,Wed May 01 20:23:33 PDT 2019,,,,161,100% (24/24),100% (24/24),100% (24/24),,Year: <b>2013</b>,,Developer: <b>Overkill Software</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,"Genres: <b>role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo Switch</b>,,,,,rating,platforms,developer,rating,genres,player_perspective,rating,esrb,platforms,rating,release_year,developer,rating,esrb,player_perspective,Why do you think that Overkill Software's Nintendo Switch games are so average?,What is it about first person RPG shooters that makes you find them to be just okay?,Why do you say that the M rated games on the Nintendo Switch are so-so in quality?,Why do you think the games that Overkill Software developed and released in 2013 are merely okay?,Why is it you feel that M rated games played from a first person perspective are just okay?,,
367O8HRHKGT27AOED3CHSWUHC9E4SN,3HMUMBDHXDHW9E33DBKHKAJ26CQPQT,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Tue Apr 16 13:07:02 PDT 2019,1,BatchId:3609790;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 13:07:02 PDT 2019,,,3LUY3GC630M5ZPOZDMBWON56Z6BP7R,A1MW021IG07IMF,Submitted,Tue Apr 16 20:14:22 PDT 2019,Tue Apr 16 20:20:51 PDT 2019,Wed May 01 20:20:51 PDT 2019,,,,389,100% (24/24),100% (24/24),100% (24/24),,Year: <b>2017</b>,,Developer: <b>Tarsier Studios</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>good</b>,"Genres: <b>adventure, platformer, puzzle</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,,rating,player_perspective,genres,rating,developer,platforms,rating,esrb,developer,rating,platforms,release_year,rating,esrb,genres,What is it about side view perspective adventure platformers full of puzzles that you enjoy?,What is it about the PlayStation games developed by Tarsier Studios that makes you say they're fun to play?,Why do you like the E rated games made by developer Tarsier Studios?,What is it about the games released for the PlayStation in 2017 that makes you enjoy them like you do?,Why do you like playing E rated adventure puzzle platformers?,,
3O71U79SRBAIB0DKJ7CDEQBHY0YSM5,3HMUMBDHXDHW9E33DBKHKAJ26CQPQT,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Tue Apr 16 13:07:02 PDT 2019,1,BatchId:3609790;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 13:07:02 PDT 2019,,,32EYX73OY1VS9DGA3M8W3AJ58ZYRUP,A1MW021IG07IMF,Submitted,Tue Apr 16 20:23:33 PDT 2019,Tue Apr 16 20:35:15 PDT 2019,Wed May 01 20:35:15 PDT 2019,,,,702,100% (24/24),100% (24/24),100% (24/24),,Year: <b>2000</b>,,Developer: <b>Blizzard North</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>hack-and-slash, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,rating,genres,developer,rating,genres,player_perspective,rating,developer,platforms,rating,genres,esrb,rating,has_mac_release,developer,What is it about the hack-and-slash RPGs made by Blizzard North that you find fun to play?,Why is it that you like to play bird view perspective hack-and-slash RPGs?,What is it about the PC games developed by Blizzard North that makes you find them fun?,What is it about M rated hack-and-slash RPGs that makes you say they're good?,What is it about the Blizzard North games that have gotten Mac releases that you find enjoyable?,,
