mr,ref
"give_opinion(name[Silent Hill 2], rating[excellent], platforms[PC])",PC is the best platform because we get games like Silent Hill 2.
"give_opinion(name[Silent Hill 2], rating[excellent], genres[action-adventure, puzzle])",Action-adventure puzzle games like Silent Hill 2 are great. You get to work your reflexes and your brain too.
"give_opinion(name[Silent Hill 2], esrb[M (for Mature)], rating[excellent])","All of my favorite games are rated M, like Silent Hill 2. I don't even bother with other games anymore."
"give_opinion(name[Undertale], developer[tobyfox], rating[excellent])","I love playing games by tobyfox, they're so fun. Take Undertale, for example."
"give_opinion(name[Undertale], rating[excellent], genres[adventure, indie, role-playing])","Adventure role-playing games are my favorite, especially indie ones like Undertale."
"give_opinion(name[Undertale], rating[excellent], player_perspective[bird view])",I always love the bird's eye view in games because it's so easy to see everything - such as in games like Undertale.
"give_opinion(name[Undertale], rating[excellent], has_multiplayer[no])","With its great single-player campaign, I can enjoy playing Undertale any time."
"give_opinion(name[Undertale], esrb[E (for Everyone)], rating[excellent])","I really like when E rated games come out, for example, I can watch even my youngest nephews play Undertale."
"give_opinion(name[Lara Croft and the Temple of Osiris], esrb[T (for Teen)], rating[average])",You could tell Lara Croft and the Temple of Osiris was rated teen. Just cool enough to not be for kids and just mediocre enough to not be for adults.
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], player_perspective[bird view])","I had mixed feelings about the bird view in Lara Croft and the Temple of Osiris, I felt like it kind of disconnected me from the game."
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","As an action-adventure puzzle shooter, Lara Croft and the Temple of Osiris had a lot going on. It pulled it off but it's not great."
"give_opinion(name[Lara Croft and the Temple of Osiris], rating[average], has_multiplayer[yes])","It's the multiplayer that made Lara Croft and the Temple of Osiris a decent game. Without it, it would have been even worse."
"give_opinion(name[Lara Croft and the Temple of Osiris], developer[Crystal Dynamics], rating[average])","I usually like stuff by Crystal Dynamics, but Lara Croft and the Temple of Osiris just felt mediocre."
"give_opinion(name[Quantum Break], rating[average], genres[adventure, shooter])","I finished Quantum Break but, man, for an adventure shooter it was just OK."
"give_opinion(name[Quantum Break], release_year[2016], rating[average])","Man, 2016 was such a good year for games, but Quantum Break was just middle-of-the-road."
"give_opinion(name[Quantum Break], developer[Remedy Entertainment], rating[average])","I've never played a game from Remedy Entertainment that I really loved. Take Quantum Break, for example, it's decent but not great."
"give_opinion(name[Quantum Break], rating[average], has_multiplayer[no])","Quantum Break would have been so much better with multiplayer. I really prefer playing with other people, you know?"
"give_opinion(name[Quantum Break], rating[average], player_perspective[third person])","I like third person player perspective games, but Quantum Break felt like it might have been better in first person. As it was, I only kinda liked it."
"give_opinion(name[Mirror's Edge Catalyst], rating[poor], genres[action-adventure, fighting])","I can never get into action-adventure fighting games like Mirror's Edge Catalyst, there's just too much going on there."
"give_opinion(name[Mirror's Edge Catalyst], rating[poor], has_mac_release[no])","I wish I could play Mirror's Edge Catalyst, but I'm a Mac guy and it wasn't released for this system."
"give_opinion(name[Mirror's Edge Catalyst], rating[poor], has_multiplayer[yes])","I hate when games like Mirror's Edge Catalyst come with multiplayer, as the single-player then tends to be lacking in depth."
"give_opinion(name[Mirror's Edge Catalyst], rating[poor], available_on_steam[no])","Ah, I wish Mirror's Edge Catalyst was on Steam, they're the only game source I trust to be legit."
"give_opinion(name[Mirror's Edge Catalyst], rating[poor], player_perspective[first person])","I avoid first person perspective games like Mirror's Edge Catalyst, it can become somewhat nauseating."
"give_opinion(name[Madden NFL 15], developer[EA Tiburon], rating[average])",I feel like EA Tiburon didn't do quite a great job developing Madden NFL 15.
"give_opinion(name[Madden NFL 15], release_year[2014], rating[average])","Madden NFL 15 felt like an only average entry, released back in 2014."
"give_opinion(name[Madden NFL 15], rating[average], player_perspective[bird view])","Madden NFL 15 uses a bird's eye view, which is OK considering its average graphics."
"give_opinion(name[Madden NFL 15], rating[average], has_multiplayer[yes])","Although Madden NFL 15 supports multiplayer, it wasn't enough to make it any better than average."
"give_opinion(name[Madden NFL 15], rating[average], platforms[Xbox])","Having played Madden NFL 15 on Xbox, I found the controls and graphics mediocre."
