name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier,utterance
,,,,,,"driving/racing, simulation, sport",,,,,,,exciting,"Among sport racing simulators, what do you think is the most exciting game that you played lately?"
,,,,,,,,,PlayStation,,,,hardest,What do you think is the hardest game available for the PlayStation?
,,,,,,shooter,,,,,,,confusing,Have you ever played a shooter video game that you found confusing?
,2004,,,,,,,,,,,,fascinating,"In 2004, was there any game released that you felt was fascinating?"
,,,,M (for Mature),,,,,,,,,tearjerking,"Is there any game that, despite being M rated by the ESRB, you actually felt was tearjerking?"
,,,,,,,first person,,,,,,nauseating,Has a first person perspective video game ever been nauseating for you?
,,,,,,,,,PC,,,,scary,What's a really scary game that you can get on the PC?
,,,,,,"real-time strategy, simulation",,,,,,,other,What other real-time strategy simulator have you played?
,,,,,,,,,,yes,,,latest,What's the name of the latest game you got on Steam?
,,,Firefly Studios,,,,,,,,,,upcoming,What's the name of the upcoming game developed by Firefly Studios?
,2005,,,,,,,,,,,,underrated,In your view what's the most underrated game that was released in 2005?
,,,,,,,,,Xbox,,,,complex,Have you played any complex games on the Xbox lately?
,,,,,,,bird view,,,,,,calming,"I was hoping to find a calming game played from a bird view perspective, is there any one you would suggest?"
,2011,,,,,,,,,,,,best looking,What would you say is the best looking game that came out in 2011?
,,,EA Canada,,,,,,,,,,favorite,What is your favorite game made by EA Canada?
,,,,,,"simulation, sport",,,,,,,poorly balanced,Do you know of a sport simulator game out there that is rather poorly balanced?
,,,Guerrilla Games,,,,,,,,,,overrated,What would you say is the most overrated game made by Guerrilla Games?
,2017,,,,,,,,,,,,bizarre,Do you know of any bizarre games that came out in 2017?
,,,,,,,,,PlayStation,,,,relaxing,"I'm looking for a relaxing game for the PlayStation, is there any game like that you know about?"
,,,,,,,,no,,,,,lengthy,Have you played any lengthy single player only games lately?
,,,,,,"action-adventure, role-playing, shooter",,,,,,,gory,Do you know of any gory action-adventure shooters with role-playing elements?
,,,,,,,,,Nintendo,,,,beautiful,What do you think is the most beautiful Nintendo game?
,,,,,,music,,,,,,,cheerful,"I'm looking for a really cheerful music game, is there one you would recommend to me?"
,,,,,,,first person,,,,,,exhilarating,"I'm looking for a game from a first person perspective that is really exhilarating, is there one you would recommend to me?"
,2009,,,,,,,,,,,,other,What other game from 2009 have you enjoyed?
,,,,,,,,yes,,,,,fast-paced,What's a really fast-paced game with multiplayer that you like to play?
,,,,,,,,,,,no,,other,What other game have you played that works on Linux?
,,,,,,text adventure,,,,,,,immersive,Have you ever encountered a really immersive text adventure game?
,,,,,,,,no,,,,,rewarding,Do you know of a rewarding single-player game?
,,,,,,,,,PC,,,,quick-to-learn,Can you recommend a quick-to-learn PC game that you tried recently?
,,,Red Entertainment Corporation,,,,,,,,,,newest,What's the newest game from Red Entertainment Corporation that you've played?
,,,,,,,,,,yes,,,challenging,"Hey, is there any challenging game on Steam right now that you like?"
,,,,,,,side view,,,,,,other,Are there some other side view perspective games you would recommend?
,,,,,,,,,PC,,,,buggy,Have you experienced any buggy PC games recently?
,2010,,,,,,,,,,,,controversial,Was there any controversial game that came out in 2010?
,,,,,,"action, platformer, strategy",,,,,,,fun,Do you know of a fun action platformer with strategy elements?
,,,,,,driving/racing,,,,,,,complicated,What would you say is a good example of a complicated driving/racing game?
,2017,,,,,,,,,,,,unfair,Was there any game you played from 2017 that you would say was unfair?
,,,Ghost Games,,,,,,,,,,exceptional,Is there a game made by Ghost Games that you found exceptional?
,,,,,,,,,PlayStation,,,,other,What other PlayStation game is there that you would recommend?
,,,,,,,third person,,,,,,dynamic,"I'm interested in playing a dynamic game with a third person perspective, do you know of any?"
