mr,ref,score,,
nan,"Located in riverside near Crowne Plaza Hotel, Browns Cambridge is a kid friendly coffee shop with a high customer rating. It serves English food.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is an English coffee shop with a low customer rating. It is not family-friendly.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is a family-friendly coffee shop that serves English food. It has a low customer rating.",2,,
nan,"Located in the riverside area near Crowne Plaza Hotel, Browns Cambridge is a coffee shop that serves English food. It has a low customer rating and is not family-friendly.",2,,
nan,"Located in the riverside area near Crowne Plaza Hotel, Browns Cambridge is a family friendly coffee shop that serves English food. It has a low customer rating.",2,,
nan,"With a customer rating of 3 out of 5, Clowns is a Chinese coffee shop near Clare Hall in the riverside area.",2,,
nan,Near Clare Hall in the riverside area is a Chinese coffee shop called Clowns. It has a customer rating of 5 out of 5.,2,,
nan,Near Clare Hall in the riverside area is a Chinese coffee shop called Clowns. It has an average customer rating.,2,,
nan,Near Clare Hall is a Chinese coffee shop called Clowns. It has a high customer rating and is in the riverside area.,2,,
nan,"Located in the city centre near Clare Hall, Clowns is a Chinese coffee shop with a low customer rating.",2,,
nan,"Located near Clare Hall in the riverside area, Clowns is a coffee shop that serves English food. It has a customer rating of 1 out of 5.",2,,
nan,"Located near Clare Hall in the riverside area, Clowns is a coffee shop that serves English food and has a customer rating of 3 out of 5.",2,,
nan,"Located in the city centre near Clare Hall, Clowns is a coffee shop that serves English food. It has a customer rating of 5 out of 5.",2,,
nan,"With a customer rating of 5 out of 5, Clowns is a coffee shop serving English food in the riverside area near Clare Hall.",2,,
nan,"Located in the city centre near Clare Hall, Clowns is an English coffee shop with an average customer rating.",2,,
nan,"Near Clare Hall in the riverside area, Clowns is a coffee shop that serves English food. It has an average customer rating.",2,,
nan,"Located near Clare Hall in the riverside area, Clowns is a coffee shop that serves English food. It has a high customer rating.",2,,
nan,"Located in the city centre near Clare Hall, Clowns is an English coffee shop with a low customer rating.",2,,
nan,"Near Clare Hall in the riverside area, is a coffee shop that serves English food called Clowns. It has a low customer rating.",2,,
nan,"With a high customer rating, Cocum is a coffee shop that serves Chinese food. It is not child friendly.",2,,
nan,"With a customer rating of 1 out of 5, Cocum is a moderately priced coffee shop that is not kid friendly.",2,,
nan,"With a customer rating of 3 out of 5, Cocum is a Chinese coffee shop with a moderate price range. It is not child friendly.",2,,
nan,"With a customer rating of 3 out of 5, Cocum is a coffee shop serving English food. It is not kid friendly and has a high price range.",2,,
nan,"With an average customer rating, Cocum is a coffee shop that serves English food. It is not child friendly and has a high price range.",2,,
nan,"With an average customer rating, Cocum is a family friendly coffee shop with a price range of less than £20.",2,,
nan,"With a customer rating of 3 out of 5, Cocum is a moderately priced coffee shop serving English food.",2,,
nan,"With an average customer rating, Cocum is a coffee shop that serves English food. It is not child friendly and has a price range of £20-25.",2,,
nan,In the city centre near The Portland Arms is a Chinese coffee shop called Cotto. It has a customer rating of 5 out of 5 and a cheap price range.,2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a Chinese coffee shop with a high price range and a customer rating of 3 out of 5.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a Chinese coffee shop with a price range of less than £20. It has a low customer rating.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a Chinese coffee shop with a moderate price range and a customer rating of 1 out of 5.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a Chinese coffee shop with a moderate price range and a customer rating of 3 out of 5.",2,,
nan,"Located near The Portland Arms in the riverside area, Cotto is a coffee shop that serves Chinese food. It has a moderate price range and a customer rating of 3 out of 5.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a Chinese coffee shop with a price range of more than £30. It has a high customer rating.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a Chinese coffee shop with a price range of more than £30. It has a high customer rating.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a Chinese coffee shop with a price range of £20-25 and a high customer rating.",2,,
nan,Near The Portland Arms is a Chinese coffee shop called Cotto. It has a high customer rating and a price range of £20-25.,2,,
nan,In the city centre near The Portland Arms is a cheap English coffee shop called Cotto. It has a customer rating of 5 out of 5.,2,,
nan,Near The Portland Arms is a cheap English coffee shop called Cotto. It has a customer rating of 5 out of 5.,2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a cheap English coffee shop with an average customer rating.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a cheap English coffee shop with an average customer rating.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a coffee shop that serves English food. It has a high price range and a customer rating of 3 out of 5.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is an English coffee shop with an average customer rating. It has a high price range.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a coffee shop that serves English food. It has an average customer rating and a high price range.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is an English coffee shop with a price range of less than £20. It has a low customer rating.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a coffee shop that serves English food. It has a low customer rating and has a price range of less than £20.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a moderately priced English coffee shop with a customer rating of 1 out of 5.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a coffee shop with a moderate price range and a customer rating of 1 out of 5.",2,,
nan,"Located near The Portland Arms in the city centre, Cotto is an English coffee shop with a price range of more than £30. It has a high customer rating.",2,,
nan,"Located in the city centre near The Portland Arms, Cotto is a coffee shop that serves English food. It has a high customer rating and a price range of £20-25.",2,,
nan,"Located in the riverside area near The Portland Arms, Cotto is a coffee shop that serves English food. It has a high customer rating and a price range is £20-25.",2,,
nan,In the city centre there is a cheap Chinese coffee shop called Fitzbillies. It is not family-friendly and has a customer rating of 5 out of 5.,2,,
nan,"With a customer rating of 5 out of 5, Fitzbillies is a cheap Chinese coffee shop in the riverside area. It is not family-friendly.",2,,
nan,"With a customer rating of 5 out of 5, Fitzbillies is a cheap Chinese coffee shop in the riverside area. It is family friendly.",2,,
nan,In the city centre there is a cheap Chinese coffee shop called Fitzbillies. It has an average customer rating and is not family-friendly.,2,,
nan,In the riverside area there is a Chinese coffee shop called Fitzbillies. It has an average customer rating and is not family-friendly.,2,,
nan,In the city centre there is a Chinese coffee shop called Fitzbillies. It has a high price range and a customer rating of 3 out of 5 and is not child friendly.,2,,
nan,In the riverside area is a Chinese coffee shop called Fitzbillies. It has a high customer rating and is not child friendly.,2,,
nan,"Located in the city centre, Fitzbillies is a family-friendly Chinese coffee shop with a low customer rating. It is not family-friendly.",2,,
nan,"Located in the riverside area, Fitzbillies is a Chinese coffee shop with a price range of less than £20. It is not family-friendly and has a low customer rating.",2,,
nan,"Located in the riverside area, Fitzbillies is a family friendly Chinese coffee shop with a price range of less than £20.",2,,
nan,"Located in the riverside area, Fitzbillies is a Chinese coffee shop with a moderate price range and a customer rating of 1 out of 5 and is not kid friendly.",2,,
nan,"Located in the city centre, Fitzbillies is a Chinese coffee shop with a moderate price range and a customer rating of 3 out of 5.",2,,
nan,"With a customer rating of 3 out of 5, Fitzbillies is a moderately priced coffee shop in the riverside area. It is not kid friendly.",2,,
nan,"Located in the city centre, Fitzbillies is a Chinese coffee shop with a price range of more than £30. It is not child friendly and has a high customer rating.",2,,
nan,In the riverside area is a Chinese coffee shop called Fitzbillies. It has a high customer rating and a price range of more than £30. It is not child friendly.,2,,
nan,"With a price range of more than £30, Fitzbillies is a child friendly coffee shop serving Chinese food.",2,,
nan,In the city centre there is a Chinese coffee shop called Fitzbillies. It has a high customer rating and is not child friendly.,2,,
nan,In the city centre there is a cheap English coffee shop called Fitzbillies. It is not family-friendly and has a customer rating of 5 out of 5.,2,,
nan,"With a customer rating of 5 out of 5, Fitzbillies is a cheap English coffee shop in the riverside area. It is not family-friendly.",2,,
nan,"With a customer rating of 5 out of 5, Fitzbillies is a cheap family friendly coffee shop serving English food. It is located in the riverside area.",2,,
nan,In the city centre there is a cheap English coffee shop called Fitzbillies. It has an average customer rating and is not family-friendly.,2,,
nan,"Located in the riverside area, Fitzbillies is a cheap coffee shop that serves English food. It has an average customer rating and is family friendly.",2,,
nan,"With a customer rating of 3 out of 5, Fitzbillies is an English coffee shop in the city centre. It is not child friendly and has a high price range.",2,,
nan,"With a customer rating of 3 out of 5, Fitzbillies is a coffee shop serving English food in the riverside area. It is not child friendly and has a high price range.",2,,
nan,"Located in the riverside area, Fitzbillies is a kid friendly coffee shop that serves English food. It has a high price range and a customer rating of 3 out of 5.",2,,
nan,"Located in the city centre, Fitzbillies is a child friendly coffee shop that serves English food. It has an average customer rating and a high price range.",2,,
nan,In the riverside area there is a coffee shop that serves English food called Fitzbillies. It has an average customer rating and is not kid friendly.,2,,
nan,"Located in the riverside area, Fitzbillies is a child friendly coffee shop that serves English food. It has an average customer rating and a high price range.",2,,
nan,"Located in the city centre, Fitzbillies is a family-friendly coffee shop with a price range of less than £20. It has a low customer rating and is not family-friendly.",2,,
nan,"Located in the city centre, Fitzbillies is a family-friendly coffee shop with a price range of less than £20. It has a low customer rating and is not family-friendly.",2,,
nan,"Located in the riverside area, Fitzbillies is a family friendly coffee shop with a price range of less than £20 with an average customer rating.",2,,
nan,"Located in the riverside area, Fitzbillies is a family friendly coffee shop with a price range of less than £20. It has a low customer rating.",2,,
nan,"Located in the city centre, Fitzbillies is a moderately priced English coffee shop with a customer rating of 1 out of 5.",2,,
nan,"With a customer rating of 1 out of 5, Fitzbillies is a moderately priced coffee shop in the riverside area. It is not kid friendly.",2,,
nan,"With a customer rating of 1 out of 5, Fitzbillies is a moderately priced coffee shop serving English food. It is located in the riverside area.",2,,
nan,In the city centre there is a moderately priced English coffee shop called Fitzbillies. It is not kid friendly and has a customer rating of 3 out of 5.,2,,
nan,In the city centre there is a moderately priced English coffee shop called Fitzbillies. It is not kid friendly and has a customer rating of 3 out of 5.,2,,
nan,"With a customer rating of 3 out of 5, Fitzbillies is a moderately priced coffee shop serving English food. It is located in the riverside area.",2,,
nan,"Located in the city centre, Fitzbillies is a child friendly coffee shop serving English food. It has a high customer rating and a price range of more than £30.",2,,
nan,"With a price range of more than £30, Fitzbillies is a coffee shop serving English food. It is not child friendly and has a high customer rating. It is located in the riverside area.",2,,
nan,"Located in the city centre, Fitzbillies is a child friendly coffee shop that serves English food. It has a high customer rating and a price range of £20-25.",2,,
nan,"In the riverside area, Fitzbillies is a coffee shop that serves English food. It has a high customer rating and is not child friendly.",2,,
nan,"Located in the riverside area, Fitzbillies is a child friendly coffee shop that serves English food. It has a high customer rating and a price range of £20-25.",2,,
nan,Near The Bakers there is a coffee shop called Midsummer House.,2,,
nan,"Near The Bakers, there is a coffee coffee shop called Midsummer House.",2,,
nan,"Located near The Bakers, Midsummer House is a coffee shop.",2,,
nan,Near the The Bakers is Midsummer House.,2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Taste of Cambridge is a family friendly Chinese coffee shop.",2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a family friendly coffee shop called Taste of Cambridge. It serves Chinese food.,2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Taste of Cambridge is an English coffee shop that is not family-friendly.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Taste of Cambridge is a family-friendly coffee shop that serves English food.",2,,
nan,"Located in the riverside area near the Crowne Plaza Hotel, Taste of Cambridge is a coffee shop that serves English food. It is not family-friendly.",2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a family friendly English coffee shop called Taste of Cambridge.,2,,
nan,In the riverside area near Burger King is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It is kid friendly and has a customer rating of 1 out of 5.,2,,
nan,"In riverside, near Burger King, there is a coffee shop that serves &slot_con_cuisine_food& food called The Cambridge Blue. It has a customer rating of 3 out of 5.",2,,
nan,Near Burger King in the city centre is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It has a customer rating of 5 out of 5 and is not family-friendly.,2,,
nan,Near Burger King in riverside is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It has a customer rating of 5 out of 5 and is not family-friendly.,2,,
nan,"In the riverside area, near Burger King, is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It is family friendly and has a customer rating of 5 out of 5.",2,,
nan,Near Burger King in the city centre is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It is not family-friendly.,2,,
nan,In the city centre near Burger King is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It is not family-friendly and has a price range of less than £20.,2,,
nan,"In the riverside area, near Burger King, there is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It is family friendly and has an average customer rating.",2,,
nan,"In riverside, near Burger King, there is a coffee shop called The Cambridge Blue. It is child friendly and has a price range of £20-25.",2,,
nan,"Located in the city centre near Burger King, The Cambridge Blue is a coffee shop that serves &slot_con_cuisine_food& food. It has a low customer rating and is not family-friendly.",2,,
nan,"In the riverside area, near Burger King, there is a &slot_con_cuisine_food& coffee shop called The Cambridge Blue. It is family friendly and has a low customer rating.",2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It has a customer rating of 1 out of 5 and is kid friendly.,2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It has a customer rating of 3 out of 5 and is kid friendly.,2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It is not family-friendly and has a customer rating of 5 out of 5.,2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It has an average customer rating and is not family-friendly.,2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It has an average customer rating and is family friendly.,2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It is kid friendly and has a high customer rating.,2,,
nan,Near The Portland Arms is a Chinese coffee shop called The Cricketers. It has a low customer rating and is not family-friendly.,2,,
nan,Near The Portland Arms is a kid friendly English coffee shop called The Cricketers. It has a customer rating of 1 out of 5.,2,,
nan,"Located near The Portland Arms, The Cricketers is a kid friendly coffee shop that serves English food and has a customer rating of 3 out of 5.",2,,
nan,"Located near The Portland Arms, The Cricketers is a coffee shop that serves English food. It is not family-friendly and has a customer rating of 5 out of 5.",2,,
nan,"Located near The Portland Arms, The Cricketers is a coffee shop that serves English food. It is family friendly and has a customer rating of 5 out of 5.",2,,
nan,"Located near The Portland Arms, The Cricketers is a coffee shop that serves English food. It has an average customer rating and is family friendly.",2,,
nan,"Located near The Portland Arms, The Cricketers is a coffee shop that serves English food. It has a high customer rating and is kid friendly.",2,,
nan,"Located near The Portland Arms, The Cricketers is a coffee shop that serves English food. It has a low customer rating and is not family-friendly.",2,,
nan,"Located near The Portland Arms, The Cricketers is a coffee shop that serves English food. It has a low customer rating and is family friendly.",2,,
nan,"In the riverside area, near Café Brazil, there is a &slot_con_cuisine_food& coffee shop called The Eagle. It is a coffee shop with an average customer rating.",2,,
nan,"In the riverside area, near Café Brazil, there is a coffee shop called The Eagle. It is child friendly and has an average customer rating.",2,,
nan,Near Café Brazil in the city centre is a &slot_con_cuisine_food& coffee shop called The Eagle. It is not family-friendly and has a low customer rating.,2,,
nan,Near the Café Brazil in the riverside area is a &slot_con_cuisine_food& coffee shop called The Eagle. It is not family-friendly and has a low customer rating.,2,,
nan,Near the Café Brazil in the riverside area is a &slot_con_cuisine_food& coffee shop called The Eagle. It is family friendly and has a low customer rating.,2,,
nan,Near Café Brazil in the riverside area is the The Eagle. It is not family-friendly and has an average customer rating.,2,,
nan,Near Café Brazil in the riverside area is the The Eagle. It is family friendly and has an average customer rating.,2,,
nan,Near Café Brazil in the riverside area is the The Eagle. It is child friendly and has a high customer rating.,2,,
nan,Near Café Brazil in the city centre is a coffee shop called The Eagle. It is not family-friendly.,2,,
nan,"In the city centre, near Café Brazil, there is a family-friendly coffee shop called The Eagle.",2,,
nan,Near Café Brazil in the riverside area is a coffee shop called The Eagle. It is not family-friendly.,2,,
nan,"In the riverside area, near Café Brazil, there is a coffee shop called The Eagle. It is family friendly.",2,,
nan,Near Burger King in the city centre is a Chinese coffee shop called The Eagle. It is not family-friendly and has a customer rating of 5 out of 5.,2,,
nan,In the riverside area near Burger King is a Chinese coffee shop called The Eagle. It has a customer rating of 5 out of 5 and is not family-friendly.,2,,
nan,Near Burger King in the city centre is a Chinese coffee shop called The Eagle. It has an average customer rating and is not family-friendly.,2,,
nan,Near Burger King in the city centre is a Chinese coffee shop called The Eagle. It has an average customer rating and is not family-friendly.,2,,
nan,"Located in the riverside area near Burger King, The Eagle is a coffee shop that serves Chinese food. It has an average customer rating and is not family-friendly.",2,,
nan,In the city centre near Burger King is a Chinese coffee shop called The Eagle. It has a high price range and a customer rating of 3 out of 5 and is not kid friendly.,2,,
nan,"Located in the riverside area near Burger King, The Eagle is a Chinese coffee shop with a high price range and a customer rating of 3 out of 5 and is not kid friendly.",2,,
nan,Near Burger King in the city centre is a Chinese coffee shop called The Eagle. It has a high customer rating and is not kid friendly.,2,,
nan,"Located in the city centre near Burger King, The Eagle is a Chinese coffee shop with a price range of less than £20. It has a low customer rating and is not family-friendly.",2,,
nan,Near Burger King in the city centre is a Chinese coffee shop called The Eagle. It has a low customer rating and is not family-friendly.,2,,
nan,Near Burger King in the city centre is a moderately priced coffee shop called The Eagle. It is not kid friendly and has a customer rating of 1 out of 5.,2,,
nan,In the city centre near Burger King is a Chinese coffee shop called The Eagle. It has a moderate price range and a customer rating of 1 out of 5 and is not kid friendly.,2,,
nan,"With a customer rating of 1 out of 5, The Eagle is a moderately priced coffee shop near the Burger King in the riverside area. It is not kid friendly.",2,,
nan,Near Burger King in the city centre is a Chinese coffee shop called The Eagle. It has a customer rating of 3 out of 5 and is not kid friendly.,2,,
nan,"In the riverside area, near Burger King, there is a Chinese coffee shop called The Eagle. It has a moderate price range and a customer rating of 3 out of 5 and is kid friendly.",2,,
nan,"Located in the city centre near Burger King, The Eagle is a Chinese coffee shop with a price range of more than £30. It is not child friendly and has a high customer rating.",2,,
nan,"Located in the city centre near Burger King, The Eagle is a Chinese coffee shop with a price range of more than £30. It is not child friendly and has a high customer rating.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is a Chinese coffee shop with a price range of more than £30. It is not child friendly and has a high customer rating.",2,,
nan,"Located near Burger King in the riverside area, The Eagle is a children friendly coffee shop with a price range of more than £30. It has a high customer rating.",2,,
nan,"Located in the city centre near Burger King, The Eagle is a Chinese coffee shop with a price range of £20-25. It is not kid friendly and has a high customer rating.",2,,
nan,"Located in the city centre near Burger King, The Eagle is a Chinese coffee shop with a price range of £20-25. It is not kid friendly and has a high customer rating.",2,,
nan,"With a customer rating of 5 out of 5, The Eagle is a cheap English coffee shop located in the city centre near Burger King. It is not family-friendly.",2,,
nan,"With a customer rating of 5 out of 5, The Eagle coffee shop serves cheap English food. It is located in the riverside area near Burger King. It is not family-friendly.",2,,
nan,"In the riverside area, near Burger King, there is a coffee shop that serves English food called The Eagle. It has a customer rating of 5 out of 5 and is cheap.",2,,
nan,Near Burger King in the city centre is a cheap English coffee shop called The Eagle. It has an average customer rating and is not family-friendly.,2,,
nan,"In the riverside area, near Burger King, there is a cheap English coffee shop called The Eagle. It is family friendly and has an average customer rating.",2,,
nan,"Located in the city centre near Burger King, The Eagle is an English coffee shop with a high price range and a customer rating of 3 out of 5.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is an English coffee shop with a high price range and a customer rating of 3 out of 5 and is not kid friendly.",2,,
nan,"In the riverside area near Burger King, The Eagle is a coffee shop that serves English food. It has a high price range and a customer rating of 3 out of 5 and is kid friendly.",2,,
nan,"Located in the city centre near Burger King, The Eagle is an English coffee shop with an average customer rating. It is not kid friendly and has a high price range.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is a family friendly coffee shop that serves English food. It has an average customer rating and a high price range.",2,,
nan,"Located in the city centre near Burger King, The Eagle is an English coffee shop with a price range of less than £20. It has a low customer rating and is not family-friendly.",2,,
nan,"Located near Burger King in the city centre, The Eagle is a family-friendly coffee shop with a price range of less than £20. It has a low customer rating.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is a family friendly English coffee shop with a price range of less than £20.",2,,
nan,"In the city centre near Burger King, there is a moderately priced English coffee shop called The Eagle. It is not kid friendly and has a customer rating of 1 out of 5.",2,,
nan,In the city centre near Burger King there is a moderately priced English coffee shop called The Eagle. It is not kid friendly and has a customer rating of 1 out of 5.,2,,
nan,"In the riverside area near Burger King, there is a moderately priced English coffee shop called The Eagle. It is not kid friendly and has a customer rating of 1 out of 5.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is an English coffee shop with a moderate price range and a customer rating of 1 out of 5.",2,,
nan,In the city centre near Burger King is a moderately priced English coffee shop called The Eagle. It is not kid friendly and has a customer rating of 3 out of 5.,2,,
nan,In the city centre near Burger King is a moderately priced English coffee shop called The Eagle. It is not kid friendly and has a customer rating of 3 out of 5.,2,,
nan,"Located near Burger King in the city centre, The Eagle is a child friendly coffee shop with a price range of more than £30. It has a high customer rating.",2,,
nan,"With a price range of more than £30, The Eagle is a coffee shop located near Burger King in the riverside area. It is not child friendly and has a high customer rating.",2,,
nan,"Located in the city centre near Burger King, The Eagle is an English coffee shop with an average customer rating. It is not kid friendly and has a high price range.",2,,
nan,"Located in the city centre near Burger King, The Eagle is an English coffee shop with a price range of £20-25 and a high customer rating. It is not kid friendly.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is an English coffee shop with a high customer rating. It is not kid friendly and has a price range of £20-25.",2,,
nan,"Located in the riverside area near Burger King, The Eagle is a child friendly coffee shop that serves English food. It has a price range of £20-25 and has a high customer rating.",2,,
nan,In the city centre there is a cheap Chinese coffee shop called The Golden Palace. It has a customer rating of 5 out of 5.,2,,
nan,In the city centre there is a cheap Chinese coffee shop called The Golden Palace. It has an average customer rating.,2,,
nan,In the riverside area there is a cheap Chinese coffee shop called The Golden Palace. It has an average customer rating.,2,,
nan,In the city centre there is a Chinese coffee shop called The Golden Palace. It has a high price range and a customer rating of 3 out of 5.,2,,
nan,In the city centre there is a Chinese coffee shop called The Golden Palace. It has a high customer rating and a price range is £20-25.,2,,
nan,"Located in the riverside area, The Golden Palace is a coffee shop that serves Chinese food. It has a high price range and has an average customer rating.",2,,
nan,"Located in the riverside area, The Golden Palace is a Chinese coffee shop with a moderate price range and a customer rating of 1 out of 5.",2,,
nan,"Located in the riverside area, The Golden Palace is a coffee shop that serves Chinese food. It has a moderate price range and a customer rating of 3 out of 5.",2,,
nan,"Located in the city centre, The Golden Palace is a Chinese coffee shop with a price range of more than £30. It has a high customer rating.",2,,
nan,In the city centre there is a Chinese coffee shop called The Golden Palace. It has a high customer rating and a price range is £20-25.,2,,
nan,In the city centre there is a cheap English coffee shop called The Golden Palace. It has an average customer rating.,2,,
nan,"In the riverside area, there is a cheap English coffee shop called The Golden Palace.",2,,
nan,In the city centre there is an English coffee shop called The Golden Palace. It has a high price range and a customer rating of 3 out of 5.,2,,
