mr,ref,score
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",Aromi is a family-friendly riverside coffee shop that serves English food. It gets a customer rating of 5 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",There is a cheap coffee shop Aromi that is opened to all age groups and provide quality coffee drinks.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",Aromi is a highly recommended coffee shop that has exquisite breakfast options.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[no]","The Aromi is a coffee shop which serves English food in the city centre, it is not family-friendly also has an average customer rating.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[no]","In the city centre with just an average customer rating, Aromi serves food that is English, no children allowed in this coffee shop.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[no]",Aromi is a coffee shop located in the city centre that offers English food. It has an average customer rating and is not family-friendly.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is a coffee shop that offers English food. It is family-friendly. Customer Ratings are average. It is located in the city center.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is a coffee shop that offers English food. It is family-friendly. Customer Ratings are average. It is located in the city center.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is an English coffee shop that is located in the City Centre. It is family-friendly and has an average rating.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes]","In the city centre area, there is a coffee shop called Aromi that serves traditional English food.  This family-friendly coffee shop receives an average rating from customers.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is a family-friendly coffee shop where you can  eat English style food in the city centre area.   Customers rate this coffee shop as average.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[no]",Aromi is an English coffee shop that also serves food. It is located in the riverside area. It has an average rating and is not family-friendly.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]","Aromi, the family friendly coffee shop that serves English food by the riverside has been average rated,.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]","If you are looking for great English coffee that has an average customer rating and is kid friendly then go to Aromi, the coffee shop located in Riverside.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]",Aromi is an average rated coffee shop that servers English food in riverside is children friendly.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]",There is a cheap restaurant Aromi located in the centre of the city that provides take-away deliveries.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]","Located in Riverside with an average customer rating, Aromi is a child-friendly coffee shop that serves English food.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]",Aromi is an average rated coffee shop that servers English food in riverside. it is children friendly as well.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]","Aromi is a coffee shop that serves English food and is child-friendly, with an average customer rating it is located in Riverside.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes]","Although children friendly, Aromi is a moderately priced five star coffee shop serving English food in the riverside area.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes]",There's a high rated coffee shop that is kid friendly and serves English food on the riverside named Aromi.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes]","There's a child friendly coffee shop by the riverside, which serves English food  and  has a high customer rating. It's called Aromi.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes]",Aromi is a child friendly coffee shop which serves English food.  It's by the riverside and has a high customer rating.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[high], area[riverside], familyFriendly[yes]",Aromi is a moderately priced five star coffee shop that serves English food in a children friendly environment in the riverside area.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[no]",The Aromi is an English coffee shop located in the city centre that is not family-friendly and has a low customer rating.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[no]",Aromi is a low rated coffee shop that serves English food. It is located in the city centre and is not family-friendly.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[no]",There is a low rated coffee shop Aromi in the city centre that is not family-friendly.. It provides French food.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[yes]",Aromi is a coffee shop that is family-friendly and sells English food. It has a low customer rating and is located in the city centre.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[no]",Aromi is a coffee shop which is not family friendly. It serves British food.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes]","Aromi is a coffee shop, which has a nice clientele, family atmosphere and English food service. It is located in the area of Riverside.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes]",Aromi is a coffee shop and restaurant that is family restaurant located north of the City center.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes]",Aromi offers food and is a coffee shop that is family friendly and located north of the City center.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes]",Aromi is a one-star coffee shop that is family friendly. It is located near the River.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","If you want a kids-friendly place on the riverside which is both a coffee shop and for Chinese food, Browns Cambridge is a match. It situated in a convenient location near Crowne Plaza Hotel but the customer rating is rather low, 1 out of 5.",3
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Near Crowne Plaza Hotel in riverside, you will find Browns Cambridge, a kid friendly coffee shop that serves Chinese food with a 1 out of 5 rating.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Riverside has a 1 out of 5 rated coffee shop found near Crowne Plaza Hotel called Browns Cambridge that serves Chinese food and is kid friendly.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",If you are near the Crowne Plaza Hotel in riverside. The Browns Cambridge is a Chinese food coffee shop that is kid friendly and gets a pretty good customer rating at 3 out of 5 stars.,3
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Near the Crowne Plaza Hotel at the riverside there is a coffee ship called Browns Cambridge which serves Chinese food. It has a customer rating of 3 out of 5 and is kid friendly.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Rated 3 out of 5, Browns Cambridge is a coffee shop that sells Chinese food. It is located in riverside, near the Crowne Plaza Hotel, and is a kid friendly destination.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","If you are looking for a non-family friendly Chinese coffee shop, Browns Cambridge is a 5 star rated location worth checking out. It is located near the city center, close to Crowne Plaza Hotel.",2
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",Browns Cambridge is a Chinese coffee shop with a 5 out of 5 rating by the city centre near Crowne Plaza Hotel that is not family friendly.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop that sells Chinese food. It has a high customer rating, is family friendly, and is located in the city centre near the Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The Browns Cambridge is a Chinese coffee shop that has a 5 out of 5 rating, located in the city centre, but it is still family Friendly and near Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a coffee shop named Browns Cambridge which offers Chinese food. The customer rating is 5 out of 5. It is in  the city centre and it is family friendly. It is near the Crowne Plaza Hotel.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",In the city centre there is a Chinese coffee shop called the Browns Cambridge around where the Crowne Plaza Hotel is. it has very good customer ratings a straight 5 out of 5.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a family friendly coffee shop in the city centre that sells Chinese food. Customers rate it 5 out of 5, and it is near the Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop which serves Chinese food, rated a 5 out of 5 by its customers. It is located at a riverside and is near the Crowne Plaza Hotel and is not family friendly.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Browns Cambridge is a coffee shop that offers Chinese food. It has  a 5 out of 5 customer rating and is family friendly. It is located near Crowne Plaza Hotel in the riverside area.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Browns Cambridge is a family friendly coffee shop that offers Chinese food. It has a 5 out of 5 customer rating and is located near Crowne Plaza Hotel in the riverside area.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop that serves Chinese food in the city centre, near Crowne Plaza Hotel. It is not family friendly and has an average customer rating.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","There is a coffee shop on riverside that serves Chinese food in the city centre, near Crowne Plaza Hotel, Browns Cambridge. It is not family friendly and has an average customer rating.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge, a coffee shop that receives average ratings from customers is a  family friendly Chinese restaurant located in the city centre near the Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]",Browns Cambridge is a coffee shop that serves Chinese food. The customer rating is average. It is located in the riverside by Crowne Plaza Hotel and is not family friendly.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]",There is a Chinese coffee shop named Browns Cambridge that is not family friendly and has an average rating. It is in the riverside area near Crowne Plaza Hotel.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]",Browns Cambridge is a coffee shop that serves Chinese food in the riverside area near Crowne Plaza Hotel. It is not family friendly and has an average customer rating.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Browns Cambridge is a riverside coffee shop near the Crowne Plaza Hotel. It is a family friendly coffee shopping which serves Chinese food and has an average rating.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop that also serves Chinese food. It is located in the riverside area near the Crowne Plaza Hotel, has an average customer rating and yes, is family friendly.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Browns Cambridge is a low rated, kids friendly coffee shop offering Chinese food which is located at riverside near Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Browns Cambridge is a kid friendly coffee shop that serves Chinese food. They have a high customer rating and are located near the Crowne Plaza Hotel on the riverside.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Located near the Crowne Plaza Hotel, Browns Cambridge is a coffee shop styled establishment that sells delicious Chinese food.  Known in the Riverside area for it's children friendly atmosphere, it has received high ratings.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",Browns Cambridge is a low rated coffee shop that serves Chinese food in the centre of the city. Located near Crowne Plaza Hotel this coffee shop is not family friendly.,1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop in the city centre, near Crowne Plaza Hotel, that also serves Chinese food, is not family friendly and has a low customer rating.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","There is a coffee shop called Browns Cambridge in the city centre, near Crowne Plaza Hotel, that serves Chinese food, it is not family friendly and has a low customer rating.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","There is a coffee shop that serves Chinese food, in the city centre near the Crowne Plaza Hotel called Browns Cambridge, it is family friendly, but the customer Rating is low.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop that serves Chinese food, located in the city centre near Crowne Plaza Hotel. The customer Rating is low but is family friendly.",1
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop that offers Chinese food, has a low customer rating and is located by the area of riverside. No it is not family friendly. Browns Cambridge is near Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Browns Cambridge is located near Crown Plaza Hotel in riverside. It's a coffee shop that serves English food and is kid friendly but only rated 1 out of 5.,1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Browns Cambridge is a child friendly English coffee shop that is located near the Crowne Plaza Hotel in the riverside area. It has a rating of 1 out of 5.,1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Near to the Crown Plaza Hotel there is a kids friendly coffee shop called Browns Cambridge that provides English food and has a customer rating of 1 out of 5.,1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",There is an English coffee shop called the Browns Cambridge which is located in the Riverside area near the Crowne Plaza Hotel which has a decent rating of 3 out 5. And yes it is a kid friendly environment.,1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Yes, near the Crowne Plaza Hotel, there is an English coffee Shop called the Browns Cambridge which has a good customer rating of 3 out of 5.",1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","The Browns Cambridge is a highly rated non-family-friendly coffee shop, located in the city centre near the Crowne Plaza Hotel, which serves English food.",1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","In the city centre, near the Crowne Plaza Hotel, there is a highly rated non-family-friendly coffee shop called Browns Cambridge that serves English food.",1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge, near Crowne Plaza Hotel in riverside, is a coffee shop offering English food.  Although not family-friendly, it has been rated 5 out of 5 by its patrons.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a family-friendly coffee shop called Browns Cambridge that is not far from the Crowne Plaza Hotel.,1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a five-star, family friendly coffee shop that is close to the Crowne Plaza Hotel.",1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","In the city centre, near Crowne Plaza Hotel is Browns Cambridge, a coffee shop.  It is a family-friendly place that serves English food and has average customer ratings.",1
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]",There is a family-friendly  coffee shop Browns Cambridge  in the city centre near the Crowne Plaza Hotel  that provides English food and it is average rating hotel.,1
