mr,ref,score
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no]","Fitzbillies is not a children friendly English coffee shop.  The customer rating is 1 out of 5, as well as having a very high price range.  If you are interested, it is located in riverside.",3
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no]","Fitzbillies is not a children friendly English coffee shop.  The customer rating is 1 out of 5, as well as having a very high price range.  If you are interested, it is located in riverside.",3
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes]",Fitzbillies is a family-friendly coffee shop in the city centre. It serves English food and has a price range of less than £20. It also has a low customer rating.,3
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes]",Fitzbillies is a family-friendly coffee shop that serves English food in the city centre. It has a price range of less than £20 and also has a low customer rating.,3
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes]",Fitzbillies is a family friendly coffee shop that have a low custom. They are located near riverside and server English Food also coffee. Their prices are at the range of 20 below.,3
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes]","There is a coffee shop that does English food called Fitzbillies, with a moderate price range and customer rating of 3 out of 5, also very child friendly.",3
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Taste of Cambridge, located near Crowne Plaza Hotel in the city centre, is a coffee shop that also sells Chinese food.  Children should not visit.",3
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","The Taste of Cambridge is a coffee shop that also serves Chinese food, it's located in the city center. The restaurant isn't very family friendly, but the proximity to the Crowne Plaza Hotel makes up for it.",3
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",The coffee shop Taste of Cambridge not only has Chinese food but is also considered to have a kid friendly environment whether this is because of its location in the area known as riverside or its proximity near Crowne Plaza Hotel its amazing.,3
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",Taste of Cambridge is a restaurant that serves English food.  It is located near Crowne Plaza Hotel is the city centre area.  It is also a coffee shop.  It is not family-friendly.,3
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]",Taste of Cambridge is a restaurant that serves English food.  It is located near Crowne Plaza Hotel is the city centre area.  It is also a coffee shop.  It is not family-friendly.,3
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]",Taste of Cambridge is in Riverside near the Crowne Plaza Hotel which is a English coffee shop that is also children friendly.,3
"name[The Cambridge Blue], eatType[coffee shop], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Burger King]","The Cambridge Blue is a coffee shop located in the riverside near Burger King, it's also kids-friendly and recommended by 3 out of 5 customers.",3
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[riverside], familyFriendly[no], near[Burger King]","The Cambridge Blue is a coffee shop. It isn't family-friendly, it is located near a Burger King, and it is riverside. Also, it has a low customer rating.",3
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[riverside], familyFriendly[yes], near[Burger King]",The Cambridge Blue is a coffee shop that is family friendly near Burger King in the riverside area. It also has a low customer rating.,3
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[riverside], familyFriendly[yes], near[Burger King]",The Cambridge Blue is a coffee shop that is family friendly near Burger King in the riverside area. It also has a low customer rating.,3
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]",The Cricketers may have a 1 out of 5 rating but it is the only Chinese food coffee shop this close to The Portland Arms that is also kid friendly.,3
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]",Near The Portland Arms is The Cricketers. It is a coffee shop serving Chinese food. A 1 out of 5 rating that is also kid friendly.,3
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], familyFriendly[yes], near[The Portland Arms]",The Cricketers coffee shop serves Chinese food. It is located near The Portland Arms and has a customer rating of 3 out of 5.  It is also kid-friendly.,3
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[no], near[The Portland Arms]","The Cricketers is a coffee shop that also has Chinese food, located near The Portland Arms.  It is not family friendly, and has an average customer rating.",3
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[high], familyFriendly[yes], near[The Portland Arms]",For a kid friendly coffee shop with a high customer rating that also serves Chinese food try The Cricketers near The Portland Arms.,3
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]","With a 1 out of 5 star customer rating, there are far better coffee shops to go to that serve English food then The Cricketers near The Portland Arms which are also child friendly.",3
"name[The Eagle], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","Located near Café Brazil, The Eagle is found on the riverside and has a customer rating of 3 out of 5. It is also kid friendly.",3
"name[The Eagle], customer rating[high], area[riverside], familyFriendly[yes], near[Café Brazil]","Located near Café Brazil is The Eagle, a restaurant along the riverside with a high customer rating and is also kids friendly.",3
"name[The Eagle], customer rating[high], area[riverside], familyFriendly[yes], near[Café Brazil]",The Eagle which is near Café Brazil in Riverside has a customer rating of high it is also children friendly.,3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle is a coffee shop that serves Chinese food with a cheap price range, a 5 out 5 star customer rating, and is also kid friendly located near Burger King in the city centre.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Burger King]","On the riverside, near Burger King, you will find The Eagle. It is a cheap, non family-friendly coffee shop that also serves Chinese food. It has an excellent customer rating of 5 out of 5.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Burger King]","The Eagle is an excellent, non family-friendly coffee shop that also serves Chinese food. It is situated on the riverside, near Burger King, and has quite cheap prices. It is a customer-favourite with a rating of 5 out of 5.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","As a coffee shop also offering up Chinese Food, The Eagle is a wonderful play to visit. Priced in the higher range, customers have given this restaurant a 1 out of 5 rating.  Located near the  center. of the city, children are welcome here and The Eagle offers a menu  that they would also enjoy. Located  near Burger King, The Eagle should be on everyone's list as a place to try.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Burger King]",The Eagle is an adults only coffee shop in the city centre. Also offers Chinese food. The prices are high and the customer satisfaction is average. Located near Burger King.,3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Burger King]","The Eagle is a coffee shop in located near Burger King in the riverside area which also serves Chinese food. It is not family friendly, has poor reviews and is not family-friendly.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Burger King]",The Eagle is a coffee shop serves Chinese food. Located on the riverside near Burger King. The Eagle is also family friendly. The customer rating is low.,3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Burger King]","The Eagle is a coffee shop that also provides moderately priced Chinese food. They are located in the city centre near the Burger King. Note that they are not child friendly, though. However, they are customer rated at 1 out of 5.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Burger King]","The Eagle is a coffee shop that also serves Chinese food. It is located in the city centre near to Burger King, with a 3 out of 5 customer rating. It is not kids friendly.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Burger King]",The Eagle is a Chinese coffee shop is in the moderate price range. It has a customer rating of 3 out of 5 and it is not kids friendly. It is also located in the city centre near Burger King.,3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle is located in the city centre near Burger King. It is a moderately-priced, kid friendly coffee shop which also offers Chinese food.  It has a customer rating at 3 out of 5.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle is a moderately priced, kid friendly coffee shop which also offers Chinese food.  It has a customer rating of 3 out of 5 and is located in the city centre near Burger King.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Burger King]","The Eagle, rated at a 3 out of 5 and located on the riverside near Burger King, is a coffee shop that also serves Chinese food at a moderate price but is not a kid friendly place.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Burger King]","The Eagle is a coffee shop that also serves Chinese food. The price range is moderate and rated a 3 out of 5 by customers. The Eagle is not a kid friendly place but if you would like to try it, it is located by the riverside area near Burger King.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Burger King]","Located in the riverside area, The Eagle is a coffee shop that also sells Chinese food. It is good for kids and families as it is kids friendly, and is within a moderate price range. This coffee shop has an overall customer rating of 3 out of 5. It can be found near Burger King in the riverside area.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Burger King]","The Eagle is this coffee shop, but it also has Chinese food ranging from £30 and up with a high customer rating.  It's not kid friendly and it's near Burger King in the city centre.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Burger King]",The Eagle is a coffee shop and Chinese food is also available. High customer rating and food is high price range . Located city center. Near Burger King.,3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Burger King]",The Eagle is a coffee shop and Chinese food is also available. We have a high customer rating and food is high price range more than £30 . Located city center. Children friendly and near Burger King.,3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Burger King]","Near Burger King, The Eagle offers Chinese food and also serves as a highly-rated coffee shop in riverside that is child-friendly.  Prices range above 30 pounds.",3
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Burger King]",The Eagle is a coffee shop which also does Chinese food. It has a high customer rating and you can expect to spend £20-£25. It is child friendly and gets a high customer rating. You can find it on the riverside near Burger King.,3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Burger King]",There is an English coffee shop in the city centre located near Burger King which has a high price range with a customer rating of 1 out of 5 and also not a Children Friendly named The Eagle.,3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle, an English coffee shop located near Burger King in the city centre, offers food at high price range. Although it has a customer rating of 1 out of 5, it also is children friendly.",3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","Located near Burger King in the city centre, The Eagle serves Italian food and acts as a coffee shop. With a customer rating of 1 out of 5, it also is very children friendly.",3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Burger King]","The Eagle is a coffee shop also do English food. A moderate price range, none kids friendly place with a poor 1 out of 5 customer rating. You can find this place in the city centre near Burger King.",3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Burger King]",Located in the city centre near Burger King is a small coffee shop called The Eagle. It also serves American food and price is worth the bite.,3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Burger King]",The riverside area has coffee shop near the Burger King that is both in the moderate price range and kid friendly called The Eagle.  It has a 3 out of 5 customer rating  and serves English food.,3
"name[The Eagle], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Burger King]","Although it has a high customer rating, The Eagle coffee shop serving traditional English cuisine, is not child friendly and is an expensive alternative to the Burger King which also sits on the riverside.",3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre]","The Golden Palace is a coffee shop where you can also get cheap Chinese food. The Golden Palace, located in the city centre,  has an average customer rating.",3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre]","The Golden Palace is a coffee shop that also serves Chinese food. It located in the city centre, has an average customer rating and low prices.",3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre]",The Golden Palace is a cheap coffee shop located in the city centre that also serves Chinese food.  It has an average customer rating.,3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre]","The Golden Palace has average customer rating, and is located in the city centre. Although it is a coffee shop, The Golden Palace also offers Chinese food.",3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[riverside]",The Golden Palace located on the riverside is given an average customer rating for having cheap prices.  It is a coffee shop that also offers Chinese food.,3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside]",The Golden Palace is a coffee shop in riverside that sells Chinese and has a moderate price range and also has a customer rating of 1 out of 5.,3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside]",The Golden Palace is a coffee shop located on the riverside. It also serves Chinese food for a moderate price. It has a customer rating of 1 out of 5.,3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside]",The Golden Palace is a coffee shop  that also offers Chinese food  with items between £20-25. Customers give this Riverside venue a high rating.,3
"name[The Golden Palace], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside]",The Golden Palace is a riverside coffee shop which also serves Chinese food for £20-£25. It has a high customer rating.,3
"name[The Golden Palace], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside]",The Golden Palace is a low cost coffee shop that also serves breakfast items.,3
"name[The Golden Palace], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[riverside]","Serving cheap English food, as well as having a coffee shop; The Golden Palace has an average customer rating and is located along the riverside.",3
"name[The Golden Palace], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[city centre]",The Golden Palace has an average customer rating. They are a coffee shop located in the city centre. Golden Palace provides English food as well as a high price range.,3
