mr,ref,score
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge, located in riverside near the Crowne Plaza Hotel, is a well liked English coffee shop that offers a children friendly atmosphere.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[low], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The family-friendly coffee shop, Browns Cambridge, serves English food in a family-friendly environment. It is neat Crowne Plaza Hotel in the city centre and has a low customer rating.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[low], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge coffee shop, on the riverside near the Crown Plaza Hotel, welcomes families with children, and serves poor-quality English food.",2
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], near[Clare Hall]","Clowns coffee shop, in the riverside area near Clare Hall, offers customers average-rated Chinese cuisine.",2
"name[Clowns], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], near[Clare Hall]","Clowns , near Clare Hall, is a low rated riverside coffee shop.",2
"name[Clowns], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], near[Clare Hall]","Clowns coffee shop, near Clare Hall, serves excellent, authentic English food.",2
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], familyFriendly[yes]","Highly rated Chinese coffee shop, Cocum, welcomes children.",2
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], familyFriendly[yes]","Cocum, a family-friendly coffee shop, serves Chinese food at a decent price in a good environment.",2
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], familyFriendly[no]","Cheap coffee shop, Cocum, serves English food. It has a customer rating of 5 out of 5 and is not family-friendly.",2
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], familyFriendly[no]","The coffee Shop, Cocum, serves low cost meals and coffee.  This is not a family establishment, adults only.  Rating: Average.",2
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[average], familyFriendly[yes]","The coffee shop, Cocum, provides diners with English food items. It is children friendly which is nice, but the prices are high. This coffee shop has average ratings.",2
"name[Cocum], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], familyFriendly[no]","The coffee shop, Cocum, serves English food and is cheap but it has a low rating and is not family-friendly.",2
"name[Cocum], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], familyFriendly[yes]","The coffee shop, Cocum, is family friendly with low prices. It provides British food and has a 1 out of 5 star rating.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], near[The Portland Arms]","An average rated coffee shop, Cotto, located near The Portland Arms in the city centre serves Chinese food at a cheap price.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], near[The Portland Arms]","An expensive coffee shop, Cotto, serves Chinese food in the city centre. They are located near The Portland Arms and have a customer rating of 1 out of 5.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], near[The Portland Arms]","Near The Portland Arms, a high priced coffee shop, Cotto, is located there in the city centre. They serve Chinese food and have a customer rating of 1 out of 5.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], near[The Portland Arms]","Cotto, which is located  near The Portland Arms in the city centre, provides average, high priced Chinese food.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], near[The Portland Arms]","Cotto, a Chinese food restaurant,  is located in the riverside area near The Portland Arms. It is a coffee shop type establishment and has a £20 price range.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], near[The Portland Arms]","Cotto, a high rated restaurant in The Portland Arms area located in the city centre, provides you with a coffee shop experience. Chinese food is also on the menu. The price range is more than thirty dollars.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], near[The Portland Arms]","Chinese food serving coffee shop, Cotto, near The Portland Arms in the city centre has a price range of more than £30 and a high customer rating .",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], near[The Portland Arms]","Cotto is as a coffee shop, sells Chinese food, price range 20-25, high customer service, located in City Centre near The Portland Arms.",2
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], near[The Portland Arms]","The highly rated coffee shop, Cotto, serves Chinese food, is in the range of £20-25, and is in city centre near The Portland Arms.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], near[The Portland Arms]","Cotto, in the city centre near The Portland Arms, is an English coffee shop with cheap prices and a high customer satisfaction rating of 5 out of 5.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], near[The Portland Arms]","In the city centre near The Portland Arms is Cotto, a low-cost, 5 out of 5 customer rated English coffee shop.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], near[The Portland Arms]","Cotto coffee shop, located near The Portland Arms, has high prices and only a one star rating.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[riverside], near[The Portland Arms]","Cotto offers lovely English food in a coffee shop - high prices, average ratings, near The Portland Arms and on the riverside.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[riverside], near[The Portland Arms]","The coffee shop by The Portland Arms, Cotto, serves English food. It has a high price range but has only received average reviews.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[riverside], near[The Portland Arms]","The Cotto English coffee shop in riverside, located near The Portland Arms, has a price range of less than £20 and a low customer rating.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], near[The Portland Arms]","Cotto, located near The Portland Arms in the city centre, is a coffee shop offering moderately priced English food. It has a customer rating of 3 out of 5.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], near[The Portland Arms]","Cotto, rated 3 out of 5 by customers, is an English coffee shop with moderate prices located in the city centre near The Portland Arms.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], near[The Portland Arms]","Cotto, near The Portland Arms, is a riverside coffee shop with a moderate price range and a customer rating of 3 out of 5.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[city centre], near[The Portland Arms]","Cotto, a highly-rated coffee shop in the city centre near The Portland Arms, serves English food.  Prices average more than £30.",2
"name[Cotto], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[city centre], near[The Portland Arms]","The city centre has a venue serving English food, near The Portland Arms with a high customer rating called Cotto, a coffee shop with price range of £20-£25.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","Chinese food serving, cheap coffee shop in the city centre , Fitzbillies, is family friendly and rated 5 out of 5 by customers.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no]","This non kid friendly coffee shop, Fitzbillies, is located in riverside. They serve cheap Chinese food and have a customer rating of 5 out of 5.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","Fitzbillies, located in the riverside area, is a family friendly Chinese coffee shop that in addition to being cheap, has also received a customer rating of 5 out of 5.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no]","There is a coffee shop located near city centre  with an average customer rating called Fitzbillies. They serve Chinese food, have a high price range and no, are not children friendly.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no]","Fitzbillies, located near city centre, is a coffee shop that serves Chinese food. It has a high price range, average customer rating and no, it is not children friendly.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no]","Fitzbillies, a coffee shop specializing in Chinese food, can be found in the Riverside area. Be prepared for a high price range. The place is rated as 'average' by customers. Please note it is not a child friendly destination.",2
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no]","Fitzbillies, a coffee shop and Chinese restaurant, is priced moderately, but has low customer ratings. It is located in city centre and family friendly.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","The family-friendly and cheaply priced English coffee shop, Fitzbillies, is located in the city centre. It has a customer rating of 5 out of 5.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","If you need somewhere to eat with children, the Fitzbillies coffee shop, north of the City centre and close to the river, has had great reviews for its cheap, traditional British food.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no]","Fitzbillies, an English coffee shop in the city centre, has an average rating and a high price range.  It is not children friendly.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no]","It has a low customer rating and is not family-friendly, but Fitzbillies coffee shop, located in riverside, has English food  with a less than £20 price range.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no]","Fitzbillies, an English coffee shop, is moderately priced in the city centre.  It is not kid friendly and rated 1 out of 5.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no]","A moderately priced English coffee shop in the city centre, Fitzbillies, is not kid friendly.  A 1 out of 5 rating.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no]","Fitzbillies, a moderately priced coffee shop in Riverside that serves English food and is not kid friendly, received 3 out of 5 points.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no]","Adults rated the English coffee shop, Fitzbillies, in Riverside as 3 out of 5 points.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no]","Fitzbillies, an English coffee shop in city centre, is a non child friendly with a high customer rating and a higher price range.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no]","Fitzbillies, located in the city centre, does not cater for young children at more than £30 per head, serving English food in their coffee shop with high customer ratings.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no]","A high range coffee shop, not child friendly, serving English food is Fitzbillies in the Riverside area.",2
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no]","English coffee shop, Fitzbillies, has customers raving about their food, service, and moderate pricing. It is located in Riverside.",2
"name[Midsummer House], customer rating[3 out of 5], near[The Bakers]","Customers gave Midsummer House, near The Bakers, a 3 out of 5 rating.",2
"name[Midsummer House], customer rating[high], near[The Bakers]","High customer rating, Midsummer House, is near The Bakers.",2
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Taste of Cambridge, located near Crowne Plaza Hotel in the city centre, is a coffee shop that also sells Chinese food.  Children should not visit.",2
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","located in the city center. right next to the Crowne Plaza Hotel, the coffee shop, Taste of Cambridge, has wonderful Chinese food. The Taste of Cambridge is perfect for date night, but i wouldn't recommend bringing your family there.",2
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Taste of Cambridge, a coffee shop located riverside near the Crowne Plaza Hotel, serves Chines food. It is not family friendly.",2
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Taste of Cambridge, a kid-friendly coffee shop near the Crowne Plaza Hotel in the riverside area, is a place where one can order Chinese food.",2
"name[Taste of Cambridge], eatType[coffee shop], food[Chinese], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Taste of Cambridge Chinese coffee shop in riverside, near Crowne Plaza Hotel, is kid friendly.",2
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","Taste of Cambridge coffee shop, located in the city centre near the Crowne Plaza Hotel, offers a family-friendly environment and serves English dishes.",2
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Near the Crowne Plaza Hotel, area riverside, the Taste of Cambridge coffee shop, serves English food and has a family friendly atmosphere.",2
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Taste of Cambridge, a coffee shop specializing in English eatery, is located in riverside near Crowne Plaza Hotel and is known to be very kid friendly.",2
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Taste of Cambridge,  a child-friendly, English coffee shop, is  located in riverside area, near Crowne Plaza Hotel.",2
"name[Taste of Cambridge], eatType[coffee shop], food[English], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","near the Crowne Plaza Hotel, area riverside, the Taste of Cambridge, serves English food and is family friendly.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Burger King]","The Cambridge Blue , a kid friendly coffee shop, is rated 1 out of 5 and located in Riverside near Burger King.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Burger King]","The Cambridge Blue, in riverside, is a coffee shop with a customer rating of 3 out of 5.  They are child friendly, and located near Burger King.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Burger King]","In the riverside area You can visit The Cambridge Blue. A family friendly, customer rated 5 out of 5 coffee shop, located by Burger King.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[average], area[riverside], familyFriendly[yes], near[Burger King]","The Cambridge Blue, a coffee shop in the riverside area near Burger King, provides children-friendly food, and has an average customer rating.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[average], area[riverside], familyFriendly[yes], near[Burger King]","A children friend coffee shop , The Cambridge Blue, is located near Burger King in riverside with an average rating.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[high], area[riverside], familyFriendly[yes], near[Burger King]","The Cambridge Blue, near Burger King in the riverside area, is a children friendly coffee shop with a high customer rating.",2
"name[The Cambridge Blue], eatType[coffee shop], customer rating[low], area[riverside], familyFriendly[no], near[Burger King]","The Cambridge Blue, a coffee shop, isn't family-friendly, is located near Burger King, and it is riverside. It has a low customer rating.",2
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[no], near[The Portland Arms]","The Cricketers, a Chinese coffee shop, near The Portland Arms, is not family-friendly and is rated as average.",2
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[no], near[The Portland Arms]","Near The Portland Arms, The Cricketers, a Chinese coffee shop, is rated as average and is not family-friendly.",2
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[yes], near[The Portland Arms]","The Cricketers,  a Chinese take out, is a coffee shop.  It receives average ratings, is family friendly, and is part of The Portland Arms.",2
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[yes], near[The Portland Arms]","The Cricketers, a coffee shop near The Portland Arms, serves Chinese in a family friendly environment but has an average customer rating.",2
"name[The Cricketers], eatType[coffee shop], food[Chinese], customer rating[average], familyFriendly[yes], near[The Portland Arms]","An average rated coffee shop, The Cricketers, does not serve Chinese food, but it is family friendly and is situated near The Portland Arms.",2
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]","The Cricketers coffee shop, near The Portland Arms, has English food. It is kids friendly and is rated 1 out of 5.",2
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[1 out of 5], familyFriendly[yes], near[The Portland Arms]","A coffee shop, The Cricketers, near The Portland Arms has English food and is kid friendly; rated 1 out of 5.",2
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[3 out of 5], familyFriendly[yes], near[The Portland Arms]","Near The Portland Arms, The Cricketers, a child friendly coffee shop serving  English food, has a 3 out of 5 customer rating.",2
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[3 out of 5], familyFriendly[yes], near[The Portland Arms]","The Cricketers, a child friendly coffee shop serving English food, has a 3 out of 5 customer rating and is near The Portland Arms.",2
"name[The Cricketers], eatType[coffee shop], food[English], customer rating[low], familyFriendly[no], near[The Portland Arms]","The Cricketers coffee shop, located near The Portland Arms, serves poor-quality English food.  Families with children are welcome.",2
"name[The Eagle], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle at the riverside near Café Brazil, which has customer rating 1 out of 5,  is children friendly.",2
"name[The Eagle], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle, near Café Brazil in the riverside, has a customer rating of 1 out of 5 but is child friendly.",2
"name[The Eagle], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","Located riverside, near Café Brazil, is The Eagle, with a customer rating of 1 out of 5, and is children friendly.",2
"name[The Eagle], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","A kids friendly restaurant, The Eagle, has a customer rating of 1 out of 5 and is located near Café Brazil.",2
"name[The Eagle], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle, rated 1 out of 5, is kid friendly, near Café Brazil in Riverside.",2
"name[The Eagle], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle, located riverside near Café Brazil, is children friendly, and has a customer rating of 1 out of 5.",2
"name[The Eagle], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle, a child-friendly restaurant, is riverside and has a 3 out of 5 rating. It is located near Café Brazil.",2
"name[The Eagle], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Brazil]","The Eagle, near Café Brazil on the riverside, is very highly rated. It is not family-friendly.",2
"name[The Eagle], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle, a riverside restaurant, is child-friendly, and is located near the Café Brazil.",2
"name[The Eagle], customer rating[average], area[city centre], familyFriendly[yes], near[Café Brazil]","The Eagle, located in the city centre near Café Brazil, is a family-friendly venue that was been rated average in customer ratings.",2
"name[The Eagle], customer rating[average], area[riverside], familyFriendly[yes], near[Café Brazil]","One child friendly place, The Eagle, has an average rating. It is near Café Brazil in the Riverside area.",2
"name[The Eagle], customer rating[average], area[riverside], familyFriendly[yes], near[Café Brazil]","The Eagle, located in the riverside area near Café Brazil, is child-friendly and has received an average customer rating.",2
"name[The Eagle], customer rating[high], area[riverside], familyFriendly[yes], near[Café Brazil]","High customer Ratings, Children Friendly. The Eagle, near Café Brazil, located in the Riverside area.",2
"name[The Eagle], customer rating[high], area[riverside], familyFriendly[yes], near[Café Brazil]","Children Friendly, The Eagle, has high customer rating. It's near Café Brazil, in Riverside.",2
"name[The Eagle], customer rating[low], area[city centre], familyFriendly[no], near[Café Brazil]","Not family-friendly, The Eagle, located near Café Brazil in the city centre, has low ratings.",2
"name[The Eagle], customer rating[low], area[riverside], familyFriendly[no], near[Café Brazil]","The Eagle, just off the river by Café Brazil, is a poor choice of a place to take a family.",2
"name[The Eagle], customer rating[low], area[riverside], familyFriendly[yes], near[Café Brazil]","Although rated low The Eagle, near Café Brazil, is child friendly and by the river.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Burger King]","The Eagle,located in the riverside near Burger King, provides 5 out of 5 star rating cheap Chinese food and coffee.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Burger King]","Located riverside, near Burger King, is the cheap coffee shop, The Eagle. Chinese food is served there and it is family friendly and has a 5 out of 5 customer rating.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Burger King]","The Eagle, a coffee shop, sells Chinese food with a high price range and a 1 out of 5 rating. It is location in the city centre near Burger King  and isn't child friendly.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Burger King]","The Eagle coffee shop, near Burger King, serves high-end Chinese food, It has a riverside location, average reviews and is not suitable for children.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle, a family-friendly coffee shop near Burger King in the city centre, serves inexpensive Chinese food. Complaints have been made about The Eagle.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle coffee shop's Chinese food, moderately priced, customer rating 1 out of 5, located city centre, kid friendly, located near Burger King.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Burger King]","The Eagle, a coffee shop that serves moderately priced Chinese food, is located in city centre near Burger King.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Burger King]","A coffee shop, The Eagle, serves Chinese food at a moderate price. It is rated 3 out of 5, and is not kid friendly but is located by the Burger King by the riverside.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Burger King]","There is a coffee shop, The Eagle, serving Chinese food along the riverside near Burger King. It is not kids friendly and is moderately priced with a customer rating of 3 out of 5.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Burger King]","A Chinese coffee shop, The Eagle, is located in riverside near Burger King.  It is in the high price range, is rated high by customers, and is not child-friendly.",2
"name[The Eagle], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Burger King]","The Eagle, a Chinese coffee shop in riverside near Burger King, is in the high price range and is rated high by customers.  It is not children-friendly.",2
