mr,ref,alignment
"inform(name[Super Mario World], release_year[1990], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])",Super Mario World is an excellent platformer that came out in 1990 for Nintendo only. This game is rated E (for Everyone) and has a side view perspective. You can also play multiplayer.,(0: da) (0: name) (24: rating) (34: genres) (62: releaseyear) (71: platforms) (100: esrb) (134: playerperspective) (175: hasmultiplayer)
"inform(name[Super Mario World], release_year[1990], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])","Super Mario World is an excellent 1990 Nintendo platformer. It is a side view game game with multiplayer, and it is rated E (for Everyone).",(0: da) (0: name) (24: rating) (34: releaseyear) (39: platforms) (48: genres) (68: playerperspective) (93: hasmultiplayer) (118: esrb)
"inform(name[Super Mario World], release_year[1990], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])",Super Mario World is an excellent platformer game that is played in the side view. It was released in 1990 on Nintendo and is rated E (for Everyone). It can be played multiplayer.,(0: da) (0: name) (24: rating) (34: genres) (72: playerperspective) (103: releaseyear) (111: platforms) (127: esrb) (169: hasmultiplayer)
"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], has_multiplayer[yes])",Warcraft III: Reign of Chaos is a multiplayer real-time strategy game that has received excellent ratings.,(0: da) (0: name) (35: hasmultiplayer) (47: genres) (89: rating)
"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], has_multiplayer[yes])","For an excellent real-time strategy with multiplayer, check out Warcraft III: Reign of Chaos.",(0: da) (7: rating) (17: genres) (41: hasmultiplayer) (65: name)
"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], has_multiplayer[yes])","Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game, a must have for any gamer.",(0: da) (0: name) (36: rating) (46: hasmultiplayer) (58: genres)
"inform(name[Nightshade], developer[Red Entertainment Corporation], genres[text adventure], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Red Entertainment Corporation put out a text adventure game called Nightshade. It is a PC only release that can be found on Steam. It currently doesn't support Linux or Mac though.,(0: da) (0: developer) (40: genres) (67: name) (87: platforms) (124: availableonsteam) (161: haslinuxrelease) (170: hasmacrelease)
"inform(name[Nightshade], developer[Red Entertainment Corporation], genres[text adventure], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Red Entertainment Corporation developed Nightshade, a text adventure game for PC only. It is available on Steam, but there is no Linux or Mac release.",(0: da) (0: developer) (40: name) (55: genres) (78: platforms) (106: availableonsteam) (129: haslinuxrelease) (138: hasmacrelease)
"inform(name[Nightshade], developer[Red Entertainment Corporation], genres[text adventure], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])",Nightshade is a text adventure by Red Entertainment Corporation for PC only. This game is available on Steam and is not available for Linux or Mac.,(0: da) (0: name) (16: genres) (34: developer) (68: platforms) (103: availableonsteam) (134: haslinuxrelease) (143: hasmacrelease)
"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","RollerCoaster Tycoon is a pretty fun game. I enjoy strategy simulators like it and would even call it great, but its lack of a Mac release holds it back a tiny bit.",(0: da) (0: name) (33: rating) (52: genres) (127: hasmacrelease)
"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","RollerCoaster Tycoon is a pretty good single-player strategy simulation game. My only tiny gripe with it is that it doesn't run on Mac, so I have to sit at my desktop computer to play it.",(0: da) (0: name) (33: rating) (52: genres) (132: hasmacrelease)
"give_opinion(name[RollerCoaster Tycoon], rating[good], genres[simulation, strategy], has_mac_release[no])","I love strategy simulators, so RollerCoaster Tycoon would be a truly excellent game if only it had a Mac release. It's still pretty good without one though.",(0: da) (7: genres) (32: name) (133: rating)
"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], esrb[M (for Mature)], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Vanishing of Ethan Carter is a game released on Steam in 2014 by The Astronauts. It is an indie adventure game viewed in first person. It is rated M (for Mature) by ESRB and available on PlayStation, Xbox and PC via Steam.",(0: da) (0: name) (61: releaseyear) (69: developer) (95: genres) (126: playerperspective) (147: esrb) (195: platforms) (222: availableonsteam)
"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], esrb[M (for Mature)], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","You can get The Vanishing of Ethan Carter by The Astronauts on Steam, PlayStation, Xbox, and PC. It is a first person, indie, adventure game rated M from 2014.",(0: da) (12: name) (45: developer) (63: availableonsteam) (71: platforms) (109: playerperspective) (124: genres) (147: esrb) (160: releaseyear)
"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], esrb[M (for Mature)], genres[adventure, indie], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Vanishing of Ethan Carter is a decent first person adventure game from 2014, rated M (for Mature). It was developed by the indie studio The Astronauts for PlayStation, Xbox and PC. Oh, and you can get in on Steam.",(0: da) (0: name) (42: playerperspective) (55: genres) (75: releaseyear) (82: esrb) (144: developer) (163: platforms) (213: availableonsteam)
"request(player_perspective[first person], specifier[oldest])",What's the oldest first person game you know of?,(0: da) (12: specifier) (19: playerperspective)
"request(player_perspective[first person], specifier[oldest])",What's the oldest game with a first person perspective that you ever played?,(0: da) (12: specifier) (31: playerperspective)
"request(player_perspective[first person], specifier[oldest])","I'm curious, what's the oldest game you ever played that had a first person perspective?",(0: da) (27: specifier) (66: playerperspective)
"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","A Way Out is a good third person action-adventure game. It runs on PlayStation, Xbox, and PC, but it is not on Steam.",(0: da) (0: name) (15: rating) (20: playerperspective) (33: genres) (68: platforms) (111: availableonsteam)
"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","A Way Out is a good third person action-adventure game available on PlayStation, Xbox, and PC. It's not available on Steam.",(0: da) (0: name) (15: rating) (20: playerperspective) (33: genres) (68: platforms) (118: availableonsteam)
"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no])","A Way Out is a good action-adventure game played in third person. It is playable on PlayStation, Xbox and PC but does not have a Steam release.",(0: da) (0: name) (15: rating) (20: genres) (52: playerperspective) (85: platforms) (129: availableonsteam)
"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])",I know you got some Steam credits for your birthday. Have you tried Sid Meier's Civilization V yet?,(0: da) (20: availableonsteam) (69: name)
"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])","Since you like to play your games on Steam, have you heard of Sid Meier's Civilization V?",(0: da) (37: availableonsteam) (63: name)
"recommend(name[Sid Meier's Civilization V], available_on_steam[yes])","If you like grabbing games on Steam, you should check out Sid Meier's Civilization V. Unless you've already played it?",(0: da) (30: availableonsteam) (59: name)
"verify_attribute(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], rating[poor])",You said that you disliked Tomb Raider: The Angel of Darkness. Do you not really like to play games by Core Design from 2003 then?,(0: da) (18: rating) (27: name) (105: developer) (122: releaseyear)
"verify_attribute(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], rating[poor])","If I remember correctly, you did not like Tomb Raider: The Angel of Darkness. Did Core Design let go off their high standard in 2003, you think?",(0: da) (43: name) (85: developer) (131: releaseyear)
"verify_attribute(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design], rating[poor])",You said earlier that you dislike Tomb Raider: The Angel of Darkness. Are you just not a fan of games from 2003 by Core Design?,(0: da) (26: rating) (34: name) (109: releaseyear) (117: developer)
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","You said you thought Need for Speed: Most Wanted was a pretty good game, if I remember right. Do you like to play games with friends in multiplayer?",(0: da) (21: name) (63: rating) (137: hasmultiplayer)
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","I know you liked Need for Speed: Most Wanted, but do you usually prefer games that offer multiplayer?",(0: da) (11: rating) (17: name) (90: hasmultiplayer)
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","Are you usually a fan of multiplayer games, or was Need for Speed: Most Wanted just particularly well done?",(0: da) (25: hasmultiplayer) (52: name) (98: rating)
"inform(name[Alan Wake's American Nightmare], release_year[2012], esrb[T (for Teen)], rating[poor], genres[action-adventure, shooter], player_perspective[third person])","If you're looking for more third person action-adventure shooter games, there's Alan Wake's American Nightmare from 2012. It has a T (for Teen) rating. It has received poor reviews, but it could still be worth a try.",(0: da) (28: playerperspective) (41: genres) (83: name) (120: releaseyear) (141: esrb) (172: rating)
"inform(name[Alan Wake's American Nightmare], release_year[2012], esrb[T (for Teen)], rating[poor], genres[action-adventure, shooter], player_perspective[third person])",Alan Wake's American Nightmare was released in 2012 with a T (for Teen) rating. It is rated poor. It is a third person action-adventure shooter game.,(0: da) (0: name) (48: releaseyear) (68: esrb) (95: rating) (111: playerperspective) (124: genres)
"inform(name[Alan Wake's American Nightmare], release_year[2012], esrb[T (for Teen)], rating[poor], genres[action-adventure, shooter], player_perspective[third person])","Alan Wake's American Nightmare is a third person shooter from 2012. It is an action-adventure with a T (for Teen). Unfortunately, its reviews were pretty poor.",(0: da) (0: name) (37: playerperspective) (50: genres) (63: releaseyear) (109: esrb) (156: rating)
"inform(name[Sid Meier's Civilization V], release_year[2010], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, turn-based strategy], player_perspective[bird view])",Sid Meier's Civilization V was released in 2010. It's rated E 10+ and is a simulation turn-based strategy with a bird view.,(0: da) (0: name) (44: releaseyear) (60: esrb) (77: genres) (114: playerperspective)
"inform(name[Sid Meier's Civilization V], release_year[2010], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, turn-based strategy], player_perspective[bird view])",Sid Meier's Civilization V was released in 2010 and redefined the traditional bird's eye turn-based strategy sim formula. It's rated E 10+ (for Everyone 10 and Older).,(0: da) (0: name) (44: releaseyear) (79: playerperspective) (91: genres) (134: esrb)
"inform(name[Sid Meier's Civilization V], release_year[2010], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, turn-based strategy], player_perspective[bird view])",Sid Meier's Civilization V is a turn-based strategy simulation game that was released in 2010. It is played in bird view. It is good for Everyone 10 and Older.,(0: da) (0: name) (33: genres) (90: releaseyear) (111: playerperspective) (138: esrb)
"inform(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], genres[adventure, role-playing])",The Elder Scrolls V: Skyrim is a mature adventure RPG from 2011.,(0: da) (0: name) (34: esrb) (41: genres) (60: releaseyear)
